Сфера жыцця|біясфера
Сфера праяў разумнага жыцця як з'явы планетарнага маштабу|наасфера
Сцэментаваны алеўрыт|алеўраліт
Сцэнічная пляцоўка для канцэртных выступаў|эстрада
Сцэнічнае амплуа акторкі, якая грае хлопчыкаў|травесці
Сцэнічнае амплуа: бойкая, знаходлівая прыслужніца, што дапамагае спадарам у любоўных інтрыгах|субрэтка
Сцэнічнае імя іт. драматурга і акцёра 16 ст. Беолько|Рудзанте
Шчаслівае ціхамірнае жыццё, каханне|ідылія
Шчаслівы выпадак, поспех|фартуна
Шчасце, раскрыжаванае над дзвярамі|падкова
Пашытыя лісты чыстай паперы ў вокладцы|сшытак
Ядомы грыб (7 выглядаў)|рогатик
Ядомы грыб з далікатнай мякаццю|сыраежка
Ядомы грыб з аксаміцістым капялюшыкам|махавік
Ядомы грыб|порхаўка
Ядомы грыб|ивишень
Ядомы грыб|мокруха
Ядомы грыб|салата
Ядомы грыб|багаткі
Ядомы грыб|поддубовик
Ядомы грыб|польскі
Ядомы грыб|радоўка
Ядомы грыб|серушка
Ядомы грыб|скрипица
Ядомы грыб|смаржок
Ядомы грыб|труфель
Ядомы драўняны грыб|трутовик
Ядомы марскі малюск класа головоногих|кальмар
Ядомы пласціністы грыб|ваўнянка
Ядомы пластычны грыб жоўтага колеру|ліска
Ядомы трубчасты грыб са слізістай скуркай на жоўта-карычневым капялюшыку|масляк
Волкасць, дажджлівае надвор'е|макрэча
Сырцовая цэгла з даданнем рэзанай саломы ў народаў Лацінскай Амерыкі; назва вядомай фірмы, якая вырабляе праграмнае забеспячэнне|адоб
Сыравіна для карэйкі|свініна
Сын Адысея ў інш.-греч. міфалогіі|Телемах
Сын аднаго з мужоў у адносінах да іншага, для яго неродному|пасерб
Сын Хлодвига|Хлодомер
Сын Зеўса і Леды|Полидевк
Сын Зеўса і Леты|Апалон
Сын лайдака і грубіянкі|абармот
Сын нотауриса, сталы вялікім мараплаўцам|Веспуччи
Сын апошняга цара Вавілоніі|Валтасар
Сынок анархіі|парадак
Сыпкі вынік гневу|парашок
Шпік Скотленд-Ярда, апанент Шэрлака Холмса|Лестрейд
Калі яго прыняў – ты ўжо манах|пострыг
Калі бацька Лукашэнка не габрэй, значыць ён...|беларус
Калі б гэта не было кудменем, тое магло б стаць габрэйскім прозвішчам|талісман
Калі табе рвуць зуб, ты пачынаеш іх выдаваць|гукі
Прыродазнаўчая навука пра расліны|батаніка
Прыродазнаўчая навука, навуковая дысцыпліна, якая вывучае Зямлю|геалогія
Прыродазнаўчая навука|біялогія
Натуральная неарганічная адукацыя крышталічнай структуры, прыблізна аднастайнае па хімічным складзе і фізічным уласцівасцям і звычайна служэлае прадметам здабычы як карысны выкапень|мінерал
Натуральнае неарганічнае хімічнае рэчыва, што ўваходзіць у склад зямной кары|мінерал
Яе амерыканцы смажаць у чацвёрты чацвер лістапада (адказ у ім. п.)|індычка
Яе будуе мім|грымаса
Яе дае той, хто дазваляе сесці сабе на шыю|слабіна
Яе шукаюць або палюбоўнікі, або тыя, хто кахае паспаць|пасцеля
Яе кладуць на кухонны стол і пад пялёнкі немаўлю|цырата
Яе маленькі аркестр пад кіраваннем кахання гуляў вершаваныя мелодыі Булата Окуджавы|надзея
Яе можна знайсці на зямной кары і на адзежы|зморшчына
Еретич. кірунак у хрысціянстве|арыянства
Ерафей Паўлавіч, рускі землепраходзец|Хабараў
Яхідна, злы з'едлівы і падступны чалавек|ехидина
Габрэйскі маленькі круглы капялюшык, якая прылягае да галавы|ярмолка
Еўроп. сталіца, якая ў рускіх казках завецца Лядзяш|Талін
Еўрапейская дынастыя|Габсбург
Еўрапейская дынастыя|Готторп
Еўрапейская гульня ў пярэкруты|реверси
Еўрапейскае назв. буйных службоўцаў феадальнага Кітая|мандарын
Еўрапейская назва індыйскіх танцорак|баядэрка
Еўнух пры гарэме|пакладанец
Яго дэвіз: “У прыродазнаўчых навуках матэматычная строгасць не патрэбна” – часта паўтараў Ландау|Галілей
Яго доўгі час лічылі самым буйным дыяментам і звалі яго “Браганца”. А насамрэч гэта быў|тапаз
Яго дачка лічыцца вынаходніцай першай мовы праграмавання|Байран
Яго клікалі Галактыён, і быў ён народным паэтам Грузіі|Табидзе
Яго імем названы тэатр у Маскве|Узораў
Яго можна ўбачыць на крагах|раструб
Яго музыку выкарыстоўваў і Феллини у фільме “8 1/2”, і Говорухин у дакументальным “Расія, якую мы страцілі”|Чайковский
Яго назва адбылася ад грэцкага слова “малхе” (“трава”)|малахіт
Яго не купіш, але ім можна адплачваць|здароўе
Яго не п'е Ален Делон (песень.)|адэкалон
Яго падазравалі ў крадзяжы Джаконды з Луўра|Пікасо
Яго тэарэмы не выклікаюць сумневаў|Піфагор
Яго порткі ва ўсе бакі роўныя|Піфагор
Егіпет. фараон, заснавальнік 12-ой дынастыі|Аменемхет
Егіпет. цар (мужа – Нефертыці)|Аменхотеп
Егіпецкая магільня|мастаба
Егіпецкая дынастыя|Рамсесид
Егіпецкая дынастыя|Тулунид
Егіпецкі султан, які ўзначаліў барацьбу з крыжакамі|Саладин
Егіпецкі бог зла|Сэт
Егіпецкі гісторык (2-я пал. 4 – пач. 3 стст. да н. э.)|Манефон
Егіпецкі мангуст|іхнеўмон
Ед. ваенна-политич. дзяленні грамадзян у Інш. Рыме|цэнтурыя
Ед. ціскі|мілібар
Ед. вымярэнні оптич. сілы лінзы|дыяптрыя
Ед. вымярэнні магнітнага моманту элем. часціц|магнетон
Ед. колькасці цеплыні|калорыя
Ед. яркасці асветленай паверхні (1 асб = 0,3183 нит)|апостильб
Ежа, якая падаецца перад гарачымі стравамі|закуска
Ежа, якой не трэба падзяляцца з сябрам ці аддаваць ворагу|сняданак
