Вонкавае апраўленне аркі|бонивур
Вонкавая ахоўная шкілетная адукацыя ў бесхрыбтовых|ракавіна
Вонкавы выступ у ніжняй частцы збудавання|ліштва
Наруш. бялковага абмену – адукацыя ў тканінах амілоіду|амілаідоз
Парушэнне аўтарскага права|плагіят
Парушэнне здольнасці вырабляць мэтанакіраваныя рухі ў выніку паразы вышэйшых аддзелаў галаўнога мозгу|апраксія
Парушэнне справаздачнасці|прыпіска
Парушэнне зладзейскіх традыцый, нявартае для які паважае сябе чальца злачыннай супольнасці (жарг.)|западло
Парушэнне звычайнага рытму сэрцабіцця|арытмія
Парушэнне цэласнасці косткі ў чалавека, жывёлы|пералом
Парушальнік парадку ў тэатры Карабаса Барабаса|Бураціна
Наркам земляробства|Яковенко
Наркатычная расліна|каноплі
Прыбраная крамнінная жаночая сумачка, якая насілася на доўгай стужцы (устар.)|балантин
Прыбраны падстрэшак над алтаром|полаг
Прыбраны цырыманіяльны падстрэшак над тронам, парадным ложам|полаг
Нахабнік, крыкун, бессаромнік, жулікаваты балбатун – мелі на ўвазе пад гэтым у рускай мове, а ў старажытным Рыме, па-за залежнасцю ад нацыянальнасці, так звалі астролагаў. Хто ж гэта?|халдзей
Знаходжанне па прамой лініі ў ладу|раўненне
Навука (слова ўведзена А. Баумгартеном)|эстэтыка
Навука (выкладаў А. Азимов)|біяхімія
Навука з колам|гісторыя
Навука пра склад, будынку, уласцівасцях рэчываў і іх ператварэннях|хімія
Навука пра хуткасці розных працэсаў|кінэтыка
Навука пра будынак жывых арганізмаў|анатомія
Навука пра хімічны склад Зямлі|геахімія
Навука пра выхаванне падрастаючага пакалення|педагогіка
Навука пра рух целаў у прасторы і пра сілы, якія выклікаюць гэты рух|механіка
Навука пра законы перасоўвання фізічных целаў|механіка
Навука пра спадчыннасць і яе носьбітах|генетыка
Навука пра выдатны, пра агульныя законы мастацкай творчасці|эстэтыка
Навука пра трываласць матэрыялаў|супрамат
Навука пра творчае мысленне чалавека, пра псіхічныя працэсы рашэння якіх-небудзь задач|эўрыстыка
Навука пра формы і памерах Зямлі|геадэзія
Навука пра форму і будынку асобных органаў, сістэм і ўсяго арганізма ў цэлым|анатомія
Навука пра сувязі жывых арганізмаў і ўтвараных імі супольнасцяў паміж сабой і з навакольным асяроддзем|экалогія
Навука пра вобласці распаўсюду асобных выглядаў, сямействаў і іншых груп раслін і жывёл|ареалогия
Навука пра вымярэнні на зямной паверхні|геадэзія
Навука і тэхналогія, злучаная з сельскагаспадарчай вытворчасцю|аграномія
Навука ці частка навукі як адмысловая навучальная дысцыпліна|прадмет
Навука, што займаецца вызначэннем формы і памераў Зямлі|геадэзія
Навука, якая вывучае асаблівасці будынка арганізмаў для стварэння новых прыбораў|біёніка
Навука, што вывучае хімічныя ўласцівасці каменнага вугля і метады каксавання|коксахімія
Навука, якая вывучае ўваходныя ў склад арганізмаў хімічныя рэчывы|біяхімія
Навука, што вывучае вінаградную гронку|увология
Навука, якая вывучае рух целаў|механіка
Навука, што вывучае неапазнаныя лятучыя аб'екты|уфалогія
Навука, якая вывучае паводзіны жывёл у натуральных умовах|эталогія
Навука, што вывучае мінулае чалавечага грамадства|гісторыя
Навука, якая вывучае форму і памеры Землі, метады вызначэння становішча чаго-небудзь на зямной паверхні|геадэзія
