І “напалеон”, і “палена”?|торт
І яшчэ разок паспрабуйце: “Калі ты адзін, думай пра свае грахі, калі ў грамадстве ...”|забывай пра чужыя
штучн. нябеснае цела; бюро междунар. турызму.|спадарожнік
Выканаўца ролі Касандры ў венесуэльскім серыяле; іспанскі мараплавец|Торрес
Гульня “понг”, разнавіднасць тэніса, якая паступіла ў продаж у 1972 году было першай у сваім родзе. Якія яшчэ падобныя гульні вам вядомыя (мой варыянт :))?|тэтрыс
Ідал, аб'ект узвялічвання і ; першапачаткова – паганскі бажок?|кумір
З дзённіка Визбора: падчас вайны дзеці гулялі ў “гора”, т. е. хавалі, галадалі. Чые дзеці?|адказных працаўнікоў
З парадоксаў Аляксея Нагеля: “Шцірліц быў тоўсты, лысы і злапомны. А потым усё гэта зваліў на...” На каго ж?|Бормана
З чыйго мяса робіцца традыцыйная кітайская страва “бітва тыгра і цмока”?|коткі і змеі
Вядомая акторка, выканаўца галоўнай ролі ў фільме “Панесеныя ветрам”?|Ці
Вядомы журналіст В. Пяскоў апісвае гэты дыялог так: “Уррод! Уррод!” – “Сама якая! Сама якая!”. Каму прыналежаць гэтыя рэплікі, калі ўлічыць, што абодва бакі – мужчыны? (ім. п., мн. ч.)|жабы
Намалюеце антонім дарэчы “накаўт”, калі па-ангельску “накаўт” пазначаецца ўсяго адной згоднай і адной галоснай літарамі?|жэст о'кей
Менавіта гэтулькі акцябронкаў складала адну “зорачку”|5
Імператар Веспассиан з уласцівым яму гумарам сказаў пра гэта: “Здаецца, я станаўлюся богам”. Пра што ён казаў? “о ...”|сваёй смерці
Імператар гэтай краіны да нядаўняга часу насіў тытул: “леў-пераможца з калена иудова”. Лічылася, што дынастыя вядзе свой пачатак ад Саламона і царыцы Савской. У якой краіне яна кіравала?|Эфіёпія
Імя “каханай” цешчы Іпаліта Мацвеевіча Воробьянинова?|Клаўдзія
Імя самага доўгавалосага выканаўцы ў трыа “ліцэй”?|Ізольда
Імя Шамо, аўтара музыкі да песні на словы Прицкера “Дванаццатая вышыня”, прысвечанай кіеўскаму “Дынаму”|Юры
Імя гэтай жанчыны перакладаецца з аднаго са старажытных моў як “мірная”, а прозвішча з іншага – “абслуговая богаў”. Хто гэта жанчына?|Ірына Хакамада
Імя гэтаму французу далечы, злёгку перарабіўшы першую фразу яго бацькі, які прысутнічаў пры нараджэнні сына. “Ну і здаравенная яна ў цябе!” – выклікнуў бацька. А як жа назвалі дзіця?|Гаргантюа
Індзейцы племя команчей для пазначэння прадметаў, атрыманых ад белых, выкарыстоўваюць апісальныя выразы. Што яны завуць “скрыню з маланкамі”?|акумулятар
Індзейцы Паўночнай Амерыкі карысталіся гэтым, калі хварэлі ці ваявалі. Ангельцы звалі гэта “mеdiсinе рiреs”. Што гэта такое?|трубка
Часам ён жаліўся сваім сябрам на Гогаля: “Гэты маларос так мяне абірае, што і крычаць нельга!” Хто гэты скаржнік?|Пушкін
Замежнікі лічаць гэта адным са знакаў Расіі, у той час як вядомы мастак і мастацтвазнавец І. Э. Грабар зваў гэта “гародам жахлівай гародніны”. Пра што ідзе гаворка?|сабор Васіля Блажэннага
Прылада скульптара, “выкарыстоўваны” пры ежы?|разец
Штучныя веды|артэфакт
Іспанцы пасля адкрыцця Амерыкі паведамлялі на радзіму: “тут яны скачуць лепш кастыльскіх”. Увага, пытанне! Хто аднойчы залішне эмацыйна ўспрыняў купанне аднаго з іх?|Таня
“Крыніца здароўя” ў Бразіліі|дуля
Італьянскія гуманісты эпохі адраджэння да чатырох “асноўных стыхій” старажытных філосафаў – вадзе, зямлі, паветра і агню – дадалі пятую. Якую?|чалавека
Іх двое; адзін сядзіць, таму што хворы, а другі варта і кліча першага падняцца. Хто яны?|Мінін і Пожарский
Да аўтамабіляў фірмы “пежо” канца мінулага стагоддзя прыкладаўся дубец. Для чаго?|адганяць сабак
Да якога выгляду мастацтва маюць дачыненне Пеле, Диего Марадона і былы брамнік кіеўскага “дынама” Міхась Міхайлаў?|спеў
К. Бальмонт пісаў: Всклик “хто як бог” ёсць імя Міхася // І анёлам ён клікаўся між людзьмі. – Пра каго напісаны гэтыя радкі?|Мікеланджэла
Карціна Веласкеса; скульпт. Мікеланджэла.|Вакх
Кожны з тых, каго Падлога Пот і Йенг Сари вялі тэрорам у “светлую камуністычную будучыню”|кхмер
Які крэйсер “прыкавала” Нява.|Аўрора
Пакаёвая печ; электр. абагравальны прыбор.|камін
Кампаньёны “беников” па паглынанні варэнікаў (детск. фольк.).|эники
Кампазітар, оперы: “Яўген онегин”, “Віновая дама”.|Чайковский
Кантора, канцылярыя; прадстаўніцкае памяшканне.|офіс
Купец з п'есы Астроўскага “Не заўсёды як на дзяды”.|Ахаў
Кожная індывідуальная ці “камунальная” кватэра ў заапарку?|вальер
Як будзе на галандскай мове “груз”?|баласт
Як будзе на італьянскай мове “залаты яблык”? (адказ лат. літарамі)|роmоd'оrо
Як будзе па-латыні “ўзорны”?|классикум
Як у слоўніку Даля завецца “волкасць, якая нападае на хаты”?|гнілата
Як вы думаеце ў якой краіне на гербе адной з адміністрацыйна-тэрытарыяльных адзінак намаляваны леў, які змагаецца з ваўкамі, а пад ім напісана “змагаюся і перамагаю”?|Нідэрланды
Як выглядае эмблема выдавецтва “покетбук” калі яго назва перакладаецца з ангельскага як “кішэнная кніга”?|кенгуру
Як клікалі доблеснага героя з “Песні пра нибелунгах”?|Зігфрыд
Як клікалі маладога мічмана, які аднойчы ў дарозе здзівіўся вымаўленаму фурманам слову “замолаживает”? (імя + прозвішча)|Уладзімір Далеч
Як гучаць на мове індзейскага племя гуронов словы “сапраўдная гадзюка”?|іракез
Як гучыць на старажытнаегіпецкім і сучасным в'етнамскім мовах слова “котка”?|мяу
Як вядома, бога нельга зваць па імі. Таму ўзялі намінальнае слова “бог”, гэта значыць “илах” і злучылі яго з вызначаным артыклем. Што ж атрымалася?|Алах
Як вядома, у вёсках раней уставалі па пеўневым крыку, а што азначае “ўстаць на каровіным рову”?|праспаць
