Перавядзіце на турэцкую мову “гарод у стэпы”|бахча
Перавядзіце на турэцкую мову “бацька турак”|ататюрк
Перавядзіце на турэцкую мову “павільён”|шапік
Перавядзіце на цюркскую мову “блытаніна, сумесь, злучэнне, блытаніна, замяшанне”|ералаш
Перавядзіце на цюркскую мову “нізкі”|асноў
Перавядзіце на цюркскую мову “ахоўвай паселішча”|варту
Перавядзіце на цюркскую мову “палонны”|кащей
Перавядзіце на фарсі “малаважная, забытая”|алькор
Перавядзіце на фарсі “жабрак”|дэрвіш
Перавядзіце на фінікійскую мову “пальма”|Тамара
Перавядзіце на французскі “які прадухіляе падзенне”?|парашут
Перавядзіце на французскую мову “нямецкая”|алеманда
Перавядзіце на французскую мову “няроўны”|мезальянс
Перавядзіце на французскую мову “блытаніна”|бязглуздзіца
Перавядзіце на французскую мову “неўраўнаважанасць”|дысбаланс
Перавядзіце на французскую мову “новае мастацтва”|ар нуво
Перавядзіце на французскую мову “начной”|ноктюрн
Перавядзіце на французскую мову “ну і здаравенная яна ў цябе”|Гаргантюа
Перавядзіце на французскую мову “двухбаковавостры нож”|бодлер
Перавядзіце на французскую мову “ўзор тварэння”|шэдэўр
Перавядзіце на французскую мову “падстава”|фонд
Перавядзіце на французскую мову “лязо, кончык”|пуант
Перавядзіце на французскую мову “адвар”|булён
Перавядзіце на французскую мову “адкрыццё, пачатак”|увертура
Перавядзіце на французскую мову “адрэзаны”|купэ
Перавядзіце на французскую мову “адрэзаны”|купон
Перавядзіце на французскую мову “адсутнасць”|абсанс
Перавядзіце на французскую мову “пелузский”|блуза
Перавядзіце на французскую мову “першы стрэл па мішэні, пачатак (пазней)”|дэбют
Перавядзіце на французскую мову “пярэдняя варта”|авангард
Перавядзіце на французскую мову “перадавы пост”|аванпост
Перавядзіце на французскую мову “перапрануты”|травесці
Перавядзіце на французскую мову “перагляд”|рэвізія
Перавядзіце на французскую мову “песенька”|шансанетка
Перавядзіце на французскую мову “песня”|шансон
Перавядзіце на французскую мову “смутак”|шчыгрын
Перавядзіце на французскую мову “пісьмовы стол”|бюро
Перавядзіце на французскую мову слова “заступацца”|пратэжэ
Перавядзіце на хакасский мова “бацька + рака”|абакан
Перавядзіце на цыганскую мову “непакорлівая”|Земфіра
Перавядзіце на японскі “жывіце 10000 гадоў”|банзай
Перавядзіце на японскую мову “нітка жэмчугу”|рэндзю
Перавядзіце на японскую мову “новая краіна”|кюсю
Перавядзіце на японскую мову “адзежа, сукенка”|кімано
Перавядзіце на японскую мову “песня+танец+мастацтва”|кабуки
Перавядзіце на японскую мову “сузор'е плеяды”|субару
Перавядзіце на японскую мову фразу “жывіце дзесяць тысяч гадоў!”|банзай
Перавядзіце з бюракратычнай мовы: “інфармацыя, неадэкватна адбівалая факты”|няпраўда
Перавядзіце з сербахарвацкай мовы ўстойлівае словазлучэнне “гвоздена завеса” (прамаўляецца мяккае “г” і цвёрдае “е”)|жалезная заслона
“Пярына” для пераможца|лаўры
Персанаж Горкага, “Макар Чудра”|Чудра
Персанаж з “Залатога цяля” Ильфа і Пятрова|Лоханкин
Персанаж камедыі Бомарше “Севільскі цырульнік”|Фігаро
Персанаж п'есы “Дачнікі”|Улас
Персанаж п'есы А. Сухово-Кобылина “Смерць Тарелкина”?|Тарелкин
Персанаж п'есы Файко “Чалавек з партфелем”?|Гога
“Песня” савы|стогн
Пісьменнік, кінарэжысёр: “Люстэрка”, “Сталкер”, “Солярис”, “Настальгія”.|Тарковский
Ліст у Кітаі, як вы ведаеце, иероглифично. Што азначаюць два, пастаўленых побач іерогліфа, кожны з якіх чытаецца як “жанчына”?|сварка
Ежа богаў; травы. раст.; налёты міцэлію грыбоў у драўніне|амброзія
Плывучы сродак па Яўзе-рацэ з вядомай песенькі “дакладных сяброў”?|лодачка
