Паводле Генры Менкену, гэта “ўнутраны голас, які перасцерагае, што на цябе хтосьці глядзіць”|сумленне
Паводле тэксту, прыкладаемаму да нейкай зборнай савецкай цаццы, у камплектнасць яе ўваходзіць: “тулава, ніжняя лапа, верхняя лапа са скрыпкай”. як завецца гэта цацка?|конік
Сперанский, адпраўляючы свайму сябру-гісторыку ў табольск пасылку, зрабіў прыпіску: “дару табе час і вечнасць”. У пасылцы ляжалі гадзіны і другі падарунак. Які?|Біблія
Перш гэта было тоўстае сукно, якое выкарыстоўвалася для выраба абрусаў; затым стол, пакрыты такім сукном; а потым – пакой, дзе стаяў такі стол. Назавіце гэта|бюро
“Спытай мяне, як я працую, – вакол сваёй восі кружуся” (загадка)|турок
Сярод ізраільскіх дзяцей папулярная загадка: “што бывае двойчы ў жыцці і па разе ў вадзе, сушы і паветры?” Паспрабуйце і вы адказаць на яе|літара йуд
Сродак “ад вільгаці”, выраблянай маленькімі тэлегледачамі?|памперс
Сродак “узвышэння” ў вінаграда|вусік
Сродак з аповяду “Віхура” ў булгаковском цыклі “Цыдулкі юнага лекара”?|санкі
Станцыя “свет” лётае ўжо 9 гадоў. Які вузел станцыі за гэты час прыйшлося перенастраивать 5 раз?|кампутар
Старадаўняя руская прыказка: “У ельніку – працаваць, у кедроўніку – богу маліцца”. А дзе, па меркаванні рускіх, трэба весяліцца? “у ...”|бярэзніку
Стары блазан з “агнёў рампы” павучаў калегу: “пачнеш рабіць гэта – перастанеш смяшыць”. Якое дзеянне ён меў на ўвазе? (адказ – дзеяслоў)|думаць
Верш армейскага паэта: “Тут дзень пераблытаўся з ноччу, // Якія суткі запар // Толькі ціха прыборы цвыркаюць, // Ды цьмяна плафоны гараць.” Дзе ён служыў?|падводная лодка
Вартавы ложа|еўнух
Краіна чапль|Астлан
Вандроўца Фарадея|іён
“Сумасшедш. карта” з калоды Тара|блазан
Лічыцца, што прымаўка “не ў свае санкі не садзіся” з'яўляецца своеасаблівай інтэрпрэтацыяй аднаго антычнага міфа. А хто яго галоўны дзейсны твар?|Фаэтон
Так клічуць каханага мужа балярыны Майі Плисецкой, які пераўтварыў у оперу гогалеўскія “Мёртвыя душы”?|Радзівон
Талейран на венскім кангрэсе 1814–15 гадоў сказаў: “У свеце ёсць пяць частак свету: Еўропа, Азія, Амерыка, Афрыка і...” А якая яшчэ?|Жэнева
Телепочта, гвардзейцы, друкарня “паліглот”, банк, бібліятэка, зборная музеяў. У футбольным першынстве якой краіны ўдзельнічаюць гэтыя каманды?|Ватыкана
Зараз усё ведаюць, што такое “прайм-тайм”. А дзе працуюць людзі, якія вылучаюць у сутках “драйв-тайм” і надаюць яму адмысловая ўвага?|на радыё
Толькі 4 жанчыны заваёўвалі “вялікі шлем”: Морин Конноли, Маргарэт Корт, Стефани Граф... Назавіце чацвёртую|Навратилова
Томас Эдысан прапанаваў “Гэй”, але быў прыняты варыянт яго больш удачлівага канкурэнта. Які менавіта?|алё
Тоні Брэкстон напісала працяг свайго хіта “Unbrеаk mу hеаrt”, працяг завецца “... mу hаrd”. Як (рус)?|апгрэйд
Той Сцяпан, які “нас на бабу прамяняў”?|Разін
Той факт, што я сам у момант ліста не разумею сэнсу сваіх карцін, не значыць, што яны наогул пазбаўлены сэнсу (аўтар слоў)|Далі
“Трэці” музычны інтэрвал|тэрцыя
Сухотную палачку інакш завуць яшчэ “палачка ...”|Коха
Тур телеигры “зразумей мяне”?|дын
У В. І. Даля гэты дзеяслоў азначае “замучыць, змардаваць” і злучаны з нямецкім дзеясловам mоrdеn – “забіваць”. Назавіце гэты дзеяслоў|замардаваць
У гагаўзаў, малдаван і балгараў шырока распаўсюджана прозвішча Кеся. У перакладзе гэта слова азначае “мужчына, у якога не растуць барада і вусы”. Што ж гэта за такія мужчыны?|еўнухі
Ў даяков яго клічуць Танна Кумпок, што значыць “фармаваная зямля”. А як яго кліча большасць еўрапейскіх народаў?|Адам
У Доницетти яна “дзі ламмермур”, а чый голас злучаны ў нашай памяці з ёю святой?|Лоретти
У італьянцаў ёсць прыказка: “Мілан працуе, Рым есць, Венецыя спіць, а Неапаль...” Што ж робіць Неапаль?|спявае
Ў кожнага індзейскага племя ў Амерыцы былі свае назвы, якімі карысталіся іншыя плямёны. Каго апачи і навахі звалі “доўгімі нажамі”?|белых
У Моцарта ёсць камічная опера пад назвай “так паступаюць яны ўсё”. А хто гэта – яны?|жанчыны
Ў рускіх – 12 “дэльта”, у буратаў – 14–15, у эскімосаў – 18. А якая навука займаецца вывучэннем гэтага?|дактыласкапія
Ў аднаго вядомага ўсім чалавека быў дэвіз: “мобилис ин мабіле” – што азначае “рухомае ў рухомым”. Як клікалі гэтага чалавека?|Нямое
Ў рускага мастака-неопримитивиста Міхася Ларионова іх цэлых чатыры: “салдацкая”, “кацапская”, “малдаўская” і “габрэйская”. А якая яна ў Тициана?|Венера з люстэркам
У таго, каго ў шароидах назвалі “далёкім ослікам”, яна была чорная, у Монтанелли – чырвоная, у Іяаны – белая. А ў якой ахвяры суда божага яна была фіялетавая? “у ...”|які глядзіць зверху
Ў фінікійцаў першая літара звалася “ім”. У старажытных грэкаў гамераўскіх часоў ён стаў грашовай адзінкай. Якую еўрапейскую краіну немагчыма без яго прадставіць?|Іспанія
Ў хевсугов, жыхароў горнай Грузіі, частка цясніны зваўся “хевисбери”. “Хеви” – цясніна. А як перакладаецца слова “бяры”?|стары
У. Чэрчыль казаў пра яго: “Калі вам уначы захочацца паесці радыскі, лепшай сальніцы вам не знайсці”. Ёсць ён і ў Зямлі. Пра што ідзе гаворка? “о ...”|пупе
Доказ з месца забойства Сеньки Тузика з фільма “Месца сустрэчы змяніць нельга”|нож
“Выкрут” носа|пах
“Усмешка” звера|ашчэр
Уральская кампанія “Аск” выконвае эксклюзіўнае афармленне корпуса кампутара з гэтага матэрыялу?|гліна
Вусатае збожжасховішча|колас
