Айчынны матэматык|Сокалаў
Айчынны вайскавод, гістарычны дзеяч|Румянцаў
Айчынны паэт па імі Міхась|Светлов
Айчынны паэт, дыпламат 18 стагоддзі, паплечнік Пятра 1|Кантемир
Айчынны пісьменнік педагог, асветнік мінулага|Ушинский
Айчынны пісьменнік па імі Міхась|Булгакаў
Айчынны пісьменнік|Палявы
Айчынны выканавец, балалаечнік|Андрэеў
Галіна медыцыны, якая вывучае хваробы мочеполовых органаў|уралогія
Атручванне, сімптомы якога – парушэнне зроку, абцяжараная гаворка, слабасць|батулізм
Уцеха|радасць
Адбівалы толькі частка ўласцівасцяў аб'екта выява, ствараны з прыватнага пункта гледжання, у спрошчанай і даступнай для разгляду асяроддзю|праекцыя
Адлюстраванне адной з'явы ў іншым, што растлумачвае іх абодва|аналогія
Адлюстраванне вашай усмешкі|шчасце
Адлюстраванне наступальных дзеянняў суперніка|абарона
Адлюстраванне кулі ці снарада цвёрдай перашкодай|рыкашэт
Адлюстраванне, отскакивание кулі, кінутага каменя пры ўдары пра цвёрдую паверхню|рыкашэт
Адлюстраваны палёт снарада, кулі|рыкашэт
Адрэзак у прасторы, у часе|інтэрвал
Адрэзак часу ад спаткання да спаткання|расстанне
Адрэзак геологич. чакай, які адказвае адкладу биозоны|биохрон
Адрэзак зялёных ці што адраўнелі ўцёкаў з ныркамі, выкарыстоўваны для размнажэння раслін, прышчэпак|тронак
Адрэзак перпендыкуляру, апушчанага з цэнтра правільнага шматкутніка на любую з яго бакоў|апафема
Адрэзак уцёкаў для вегетатыўнага размнажэння раслін|тронак
Адрэзак прамы, які злучае дзве кропкі акружнасці і праходзілы праз яе цэнтр|дыяметр
Адрэзак, соед. вяршыню треуг-ка з сярэдзінай прот. бакі|медыяна
Атожылак у рыб|плаўнік
Адмаўленне маралі і агульнапрынятых нормаў паводзін|амаралізм
Урывак тэксту, мастацкага, музычнага твора|фрагмент
Адрывістае выкананне гукаў|стаката
Адрывісты прыём выканання музыкі|стаката
Атрад судоў|флатылія
Атрад жывёл (адказ у мн. ч.)|грызуны
Атрад найнізкіх водных хрыбетнікаў класа круглоротых|миксины
Атрад, вайсковае падраздзяленне|каманда
Атрад, да якога прыналежым і мы|прыматы
Адыход, які ўзнікае пры дзяленні|рэштка
Адпрасаваны рэльеф|раўніна
Адбор зорак для ўдзелу ў фільме|кастынг
Адборныя, лепшыя вайсковыя часткі|гвардыя
Адбіты кавалак чаго-небудзь|абломак
Водбліск далёкіх маланак|паланіца
Адвараная адмысловым спосабам свініна, халодная страва|бужаніна
Адважныя мараплаўцы (перен.)|арганаўты
Адтуліна з сеткаватым мяшэчкам на краю стала, у якое пры гульні ў більярд гулец імкнецца патрапіць шарам|луза
Адтуліна ў зямлі, прасвідраванае для здабычы вады, нафты|свідравіна
Адтуліна ў корпусе судна ад сутыкнення з цвёрдым прадметам|прабоіна
Адтуліна для стральбы ў абарончым збудаванні|байніца
Адтуліна для стральбы з хованкі|амбразура
Адтуліна, якое злучае паражніна рота з глоткай|зяпа
Адтуліна|шчыліна
Адвядзенне канечнасці да наружи ад сярэдняй лініі цела (анатам.)|абдукция
Адказ да задачы, шуканыя лікі ці функцыі|рашэнне
Адказ на вонкавае ўздзеянне|рэакцыя
Адказ, пярэчанне, заўвага на словы суразмоўцы, размаўлялага|рэпліка
Зваротная рэакцыя арганізма праз нервовую сістэму|рэфлекс
Агідны пах, смурод|смурод
Агіда навошта-або (перен.)|алергія
Адцягненне ад асноўнай тэмы апавядання|экскурс
Адцягненае паняцце|абстракт
Аддаленая ад цэнтра частка горада|ускраіна
Аддзел дыхальнай сістэмы паміж глоткай і трахеяй|гартань
Аддзел міністэрства ці іншай установы|дэпартамент
Аддзел стрававальнай сістэмы|кішачнік
Аддзел тэарэтычнай механікі, які ўключае дынаміку і статыку|кінэтыка
