Памылка, нядбайнасць|памылка
Адчувальны ...|перавага
Адчуванне страху, боязі|нясмеласць
Адчуванне ў роце даўкасці і звязальнай кіслаты|аскома
Адчуванне эмацыйнага ўздыму, прыліў радасці і бестурботнасці|эйфарыя
Адчуванне, папярэдняе ванітам|млоснасць
Раса, расавы тып (адказ у мн. ч.)|палеаазіяты
Раса, расавы тып (адказ у мн. ч.)|негрилли
Раса, расавы тып (адказ у мн. ч.)|папуасы
Раса, расавы тып у Амерыцы (адказ у мн. ч.)|індзейцы
Безуважлівы чалавек|няўклюда
Безуважлівы, няўважлівы чалавек|разявака
Аповяд А. Серафімавіча|інвалід
Аповяд А. Н. Талстога|Катенька
Аповяд А. П. Чэхава|душачка
Аповяд А. П. Чэхава|Каштанка
Аповяд А. П. Чэхава|хірургія
Аповяд А. Чэхава|Верочка
Аповяд А. Чэхава|дачніца
Аповяд А. Чэхава|дзятва
Аповяд А. Чэхава|хлопчыкі
Аповяд А. Чэхава|нарваўся
Аповяд А. Чэхава|Полинька
Аповяд А. Чэхава|ряженые
Аповяд А. Чэхава|страказа
Аповяд А. Чэхава|вустрыцы
Аповяд А. Чэхава|харыстка
Аповяд пра мінуўшчыну, легенда, пераходзячая ад пакалення да пакалення|адданне
Аповяд Тургенева|здані
Аповяд В. Шукшына|землякі
Аповяд В. Шукшына|крытыкі
Аповяд В. Шукшына|зацяты
Аповяд Вересаева|кентаўры
Аповяд Вересаева|павуцінне
Аповяд Вересаева|таварышы
Аповяд Вересаева|палахліўка
Аповяд Гаршина|левітан
Аповяд Горкага|мястэчка
Аповяд Горкага|дзяўчынка
Аповяд Горкага|Кирилка
Аповяд Горкага|рамантык
Аповяд Горкага|чытач
Аповяд Григоровича|мінак
Аповяд Дастаеўскага|рахманая
Аповяд Дастаеўскага|Паўзункоў
Аповяд І. Буніна|поўдзень
Аповяд І. Буніна|старая
Аповяд Л. Н. Талстога|неспадзявана
Аповяд Л. Н. Талстога|Филипок
Аповяд Л. Н. Талстога|Хадынка
Аповяд М. Шолохова|парабкі
Аповяд Міхася Зошчанка|бойка
Аповяд П. Капицы|лясочка
Аповяд Ф. Абрамова|старыя
Аповяд Чэхава|аптэкарка
Аповяд Чэхава|папернік
Аповяд Чэхава|імяніны
Аповяд Чэхава|важданіна
Аповяд Чэхава|нарваўся
Аповяд Чэхава|паніхіда
Аповяд Чэхава|пісьменнік
Аповяд Чэхава|полинька
Аповяд Чэхава|пасаг
Аповяд Чэхава|прыпадак
Аповяд Чэхава|размазня
Аповяд Чэхава|падзея
Аповяд Чэхава|шчасце
Аповяд Чэхава|вустрыца
Аповяд Чэхава|хамелеон
Аповяд Чэхава|харыстка
Аповяд Чэхава|кірмаш
Аповяд гістарычнага ці легендарнага ўтрымання|паданне
Разгляд з'яў у іх гістарычным развіцці|гістарызм
Расстаноўка сіл на шахматнай дыяграме|пазіцыя
Адлегласць ад апорнай плоскасці да ніжняй дэталі аўтамабіля|клиренс
Адлегласць ад вызначанага мерыдыяна, якое выяўляецца ў градусах|даўгата
Адлегласць ад паверхні вадаёма да дна|глыбіня
Адлегласць у градусах ад лініі пачатковага мередиана|даўгата
Адлегласць паміж дзвюма адзнакамі на вымяральнай шкале|дзяленне
Адлегласць паміж канцамі рогля|раствор
Адлегласць паміж ніжняй кропкай аўтамабіля і дарогай|клиренс
Засмучэнне ўзгодненасці ў скарачэнні цягліц|атаксія
Засмучэнне здароўя: слабасць нервовай сістэмы, падвышаная стамляльнасць, знясіленне, парушэнні сну і т. п.|астэнія
Разлічаная на прыём унутр абалонка з порцыяй вадкіх лекаў ці парашка|капсула
Рассыпістыя зёлкі|парашок
Рассыпістае печыва з тонкіх палосак цеста, зжаренных у масле|галлё
Распальваючы, нагрэць да вельмі высокай тэмпературы (сущ. ад глаг.)|напальванне
Раскладванне карт па некаторай сістэме як гульня ці для варажбы|пас'янс
Расклёшанае жаночае паліто|свингер
Раздрукоўка вынікаў кампутарных разлікаў, тэксту праграмы і т. п.|лістынг
Раздрукоўка кампутарнай праграмы|лістынг
Распарадчык у рэстаране, старэйшы афіцыянт|метрдотель
Распарадчык на рыцарскім турніры|герольд
Размяшчэнне ігральных карт пасля раздачы|расклад
Размяшчэнне найнізкага да вышэйшага|іерархія
Размяшчэнне элементаў цэлага ў парадку ад вышэйшага да найнізкага|іерархія
Размешчаны ў мяжы паўправадніка інверсійны ... адрозніваецца ад унутраных абласцей процілеглым знакам асноўных носитилей зарада|пласт
Распаўсюд насення раслін з дапамогай сваіх прыстасаванняў|автохория
Распаўсюд насення раслін пры дапамозе жывёл|зоохория
Распаўсюд арганізмаў у вузка абмежаваным геаграфічным раёне|эндэмізм
Распаўсюд рознага роду ідэй з мэтай уздзеяння на свядомасць і грамадскую актыўнасць мас|агітацыя
Распаўсюд инфекц. хваробы на цэлыя краіны і мацерыкі|пандэмія
Распаўсюджаная ў осн. у Японіі рэлігія, у аснове якой культ бажаствоў прыроды і продкаў|сінтаізм
Распаўсюджаная страва|яечня
Распаўсюджаны выгляд касы|літоўка
Распродаж з малатка|аўкцыён
Распусны чалавек|распуснік
Распісанае яйка|маляванка
Распіска, якую бярэ крэдытор|вэксаль
Размаляванае судна Сцяпана Разіна|човен
Расплющивание сцеблаў скошаны. травы для паскарэння іх сушкі|плясканне
Расліна з вузкай метелкой белых кветак на высокім сцябле|тубероза
Расліна з белымі кветкамі|рамонак
Расліна з круглымі чырвонымі ядомымі пладамі з сямейства пасленовых|памідор
Расліна з невялікім ядомым коранем|радыска
Расліна сем. аралиевых|заманіха
Расліна сем. сложноцв.|лаганец
Расліна сем. сложноцв.|сухацвет
Расліна сем. орхидных|чаравічак
Расліна сем. розоцв., трава|гравилат
Расліна сем. розоцветных, ягада|поляника
Расліна сем. бабовых, фарбавальнае, палявы С. – лекавае|стальнік
Расліна сем. бабовых|гледычыя
Расліна сем. бабовых|ракітнік
Расліна сем. парасонавых|бядрынец
Расліна сем. лоховых|абляпіха
Расліна сем. казяльцовых (аквилегия)|вадазбор
Расліна сем. казяльцовых|светнік
Расліна сем. казяльцовых|сон-трава
Расліна сем. маревых|саксаул
Расліна сем. мареновых, дэкор., лек., меданос|дзярачка
Расліна сем. магнолиевых|лімоннік
Расліна сем. мальвовых|гибискус
Расліна сем. мальвовых|канатник
Расліна сем. гарбузовых|патысон
Расліна сямейства бабовых|сачавіца
Расліна сямейства парасонавых, агароднінная культура|морква
Расліна сямейства травы|аўсяніца
Расліна сямейства казяльцовых (дэкаратыўная расліна)|павойнік
Расліна сямейства макавых з жоўтымі кветкамі, сок якога ўжываецца ў медыцыне, парфумерыі|падтыннік
Расліна, якое насяляе ў вадзе|гидрофит
Расліна вільготнага месцапражывання|гіграфіт
Расліна засоленых месцапражыванняў|галофит
Расліна засушлівых месцаў, не перанослае доўгіх дажджоў|омброфоб
Расліна з сямейства ліян|лімоннік
