Разнавіднасць палыну (травы. расліна)|чарнобыль
Разнавіднасць присемянника|ариллус
Разнавіднасць прымуса|керогаз
Разнавіднасць публічнага гандлю|аўкцыён
Разнавіднасць пінжака|смокінг
Разнавіднасць тэмпераменту|халерык
Разнавіднасць таполі|ясакар
Разнавіднасць филэмбриогенеза|анабалія
Разнавіднасць флейты|акарына
Разнавіднасць колеру|адценне
Разнавіднасць электрычнага перамыкача|тумблер
Разнавіднасць мовы, якая ўжываецца ў вызначаным рэгіёне ці сацыяльным пласце|дыялект
Розніца паміж прыбыткам і выдаткам|прыбытак
Раздымнае злучэнне, напр. для мацавання аб'ектыва фотаапарата. Адна з дэталяў мае выступы, пры заваротку якія фіксуюцца ў прарэзах іншай дэталі|баянет
Раён Вільнюса|Лаздинай
Раён Масквы за Кіеўскім вакзалам|Кунцево
Раён Масквы і Сімферопаля|Марьино
Раён Масквы|Алешкино
Раён Масквы|Аминьево
Раён Масквы|Бабулін
Раён Масквы|Бибирево
Раён Масквы|Бирюлево
Раён Масквы|Барысава
Раён Масквы|Братеево
Раён Масквы|Бусиново
Раён Масквы|Бутырки
Раён Масквы|Дегунино
Раён Масквы|Загорье
Раён Масквы|Зарядье
Раён Масквы|Капотня
Раён Масквы|Кожухово
Раён Масквы|Кусково
Раён Масквы|Лужнікі
Раён Масквы|Мневники
Раён Масквы|Нагатино
Раён Масквы|Орехово
Раён Масквы|Уцешнае
Раён Масквы|Раменки
Раён Масквы|Сабурава
Раён Масквы|Солнцево
Раён Масквы|Трыножкі
Раён Масквы|Татарово
Раён Масквы|Терехово
Раён Масквы|Ховрино
Раён Масквы|Царицыно
Раён Масквы|Щербинка
Раён Масквы|Ясянёва
Раён у Кіеве, дзе размешчана знакамітая лаўра|Пячэрск
Раён масквы|Хамовники
Раён, дзе вырабляюцца навучальныя стрэльбы, выпрабаванні воен. тэхнікі|палігон
Раённае аддзяленне міліцыі|участак
Раённы цэнтр у Кіеўскай вобласці|Іванкоў
Райцэнтр Ільвоўскай вобласці на рацэ Стрый|Жидачов
Райцэнтр у Татарстане|Елабуга
Ракападобнае, чысціць Байкал|эпишура
Ракападобнае|лангуст
Ракападобнае|макрыца
Ракавіна ў прыбіральні для сцёку мачы|пісуар
Рама з шэрагам цыліндрыч. ролікаў, служыць для перасоўвання цяжкіх адзінкавых грузаў|ральганг
Рана які пайшоў брат Каіна|Авель
Рангоутное дрэва, што служыць працягам асноўнай шчоглы|стэньга
Ранні гатунак каляровай капусты|монтано
Ранні перыяд жыцця чалавека|дзяцінства
Ранні перыяд каменнага веку, прыкладна да 10 тысячагоддзі да нашай эры|палеаліт
Ранні этап у развіцці мастацтва|архаіка
Ранні этап у историч. развіцці з'явы|архаіка
Ранняя (досвіткам, да абедні) царкоўная служба ў праваслаўных|ютрань
Ранняя паэма М. Лермантава|літвінка
Раней у яе абмаквалі пяро|чарніліца
Раней гэтым небаракам хоць Запарожцы выдавалі з ручным кіраваннем|інвалід
Рэакцыянер, вораг прагрэсу, культуры, навукі|цемрашал
Рэакцыйнае вучэнне пра паляпшэнне біялагічнай прыроды чалавека|еўгеніка
Рэакцыі абмену рэчываў у арганізме, накіраваныя на адукацыю складаных арганічных рэчываў|анабалізм
Рэакцыя арганізма на вонкавы сігнал, раздражненне|рэфлекс
Рэакцыя рэчыва з вадой, распад у водным асяроддзі (хим.)|гідроліз
Рэальны твар як крыніца для стварэння мастацкай выявы|прататып
Рысорны чатырохколавы парны воз з лёгкім кузавам|тачанка
Рысорны чатырохколавы экіпаж з адкідным верхам|калыска
Рэсурсы, выкарыстоўваныя ў вытворчасці і якія прыносяць прыбытак|капітал
Рэстаран найнізкага разраду, харчэўня|карчма
Рэстаранчык, які можна знайсці на агародніннай градцы|шынок
Рэарганізацыя прадпрыемства|санацыя
Дзіця жаночай падлогі|дзяўчынка
Дзіця мужчынскай падлогі|хлопчык
Дзіця, што адрозніваецца паскораным развіццём|акселерат
Дзіця, які выпіў татаву гарэлку і што наліў наўзамен вады|гарэза
Дзіця, падлетак, які расце, развіваецца ускоренно|акселерат
Рабро калянасці ашалёўкі судна, самалёта, дырыжабля|шпангоўт
Рабро корпуса судна, дырыжабля ці фюзеляжа самалёта, якое служыць асновай для ашалёўкі|шпангоўт
