Нязграбны, непаваротлівы чалавек|непаварацень
Няўменне падняцца да натуральнасці|пошласць
Неуплаченный у тэрмін падатак, збор|нядоімка
Неученый, неадукаваны, неасвечаны чалавек|невук
Непаражальны герой старажытнагрэцкіх міфаў|Ахілес
Небескарыслівы зварот да блізкага|просьба
Нябеснае цела, што круціцца вакол планеты|спадарожнік
Небольш. кругл. хлеб для прычашчэння|прасфора
Невялікая архітэктурная дэталь у выглядзе маленькай пабудовы|эдикула
Невялікая якая звужваецца зморшчынка, застрачиваемая з выварату, каб ушыць адзежу па постаці|вытачка
Невялікая што звужваецца зморшчына, застрачиваемая з выварату|вытачка
Невялікі абрус|сурвэтка
Невялікая сценка па краі дарогі|парапет
Невялікі прыпынак на чыгунцы|станцыя
Невялікая оперная арыя, звычайна лірычнага характару|каваціна
Невялікая рака ў Міжземнамор'е|Фиумара
Невялікая рачная рыбка|келба
Невялікая рыба, падобная з ляшчом|падлешчык
Невялікая рыбка (разг.)|маляўка
Невялікая рыбка роду сігаў|рапушка
Невялікая рыбка|мундушка
Невялікая вуліца, якая злучае паміж сабой два іншыя|завулак
Невялікі матылёк звычайна пярэстай афарбоўкі|агнёўка
Невялікая баявая машына|танкетка
Невялікая будка (будынак службовага прызначэння)|будачка
Невялікая бутэлечка|склянка
Невялікая ваенная лякарня|лазарэт
Невялікае ўзвышша, узгорак, пагорак|узгор'е
Невялікая група ад вайсковага падраздзялення для назірання за парадкам, бяспекай у вызначаным раёне|патруль
Невялікая драўляная ёмістасць|кадушка
Невялікая дошка з нацягнутай на яе чарцёжнай паперай|планшэт
Невялікая даліна|лог
Невялікая вярба, што расце па волкіх месцах|ракітнік
Невялікая кішэнная сумачка для грошай|кашалёк
Невялікая каса (сплеценыя ў выглядзе джгута некалькі доўгіх пасмаў валасоў)|касічка
Невялікі кошык з дубцоў|кош
Невялікі пакаёвы сабака пароды хартоў|леўрэтка
Невялікая хмызняковая пявучая птушка сямейства драздовых з землисто-бурым апярэннем на спіне і рудым на грудзі і горле|зарянка
Невялікая кушэтка|казетка
Невялікая кніга ў мяккай вокладцы|брашура
Невялікая кніжка|брашура
Невялікая лясная птушка атрада вераб'іных з яркай афарбоўкай цемрадзі|королек
Невялікая лёгкая пабудова|павільён
Невялікая лірычная арыя ў оперы|каваціна
Невялікая марская рыба сямейства сельдевых|сардзіна
Невялікая марская прамысловая рыба|скумбрыя
Невялікая муз. п'еса, уступ да імпрэзы, цырыманіялу|интрада
Невялікая муз. п'еса|інвенцыя
Невялікая несамоходная дробна прысутная баржа|шаланда
Невялікая незажившая ранка|болька
Невялікая парадыйная жартоўная опера ці музычная п'еса|бурлеска
Невялікая партыя для голасу ў оперы|арыета
Невялікая пявучая птушка сямейства овсянковых з ярка-чырвоным апярэннем у самцоў, якая насяляе ў Амерыцы|кардынал
Невялікая пявучая птушачка сямейства вьюрковых|гіль
Невялікі воз|каляска
Невялікая гулянка ці вясёлае баўленне часу ў кампаніі|гулянка
Невялікая птушка атрада кулікова, лугавая кнігаўка|кнігаўка
Невялікая тонкая колбаска|сасіска
Невялікая электрамагнітная машына, што ўжываецца ў тэлефоннай апаратуры|індуктар
Невялікая, вузкая вуліца|завулак
Невялікі верш, музычны твор, гаворка, створаныя адразу, у момант вымаўлення, выкананні|экспромт
Невялікі верш-камплімент|мадрыгал
Невялікае ручное махала|веер
Невялікае рыбалоўнае судна|шаланда
Невялікае падоўжанае паглыбленне|лагчынка
Невялікае вёсельнае судна|лодка
Невялікае дрэва сямейства розоцветных|міндаль
Невялікая дэкаратыўная і дзікарослая травяністая расліна сямейства первоцветных з трубчастымі кветкамі|прымула
Невялікае кавалерыйскае падраздзяленне, якое высылаецца для выведкі ці для выканання іншых задач ва ўмовах ваенных дзеянняў|раз'езд
Невялікае кола, што служыць для аўтаматычнай арыентацыі асноўнага кола ветранага рухавіка адносна паветранага струменя|віндроза
Невялікая колькасць чаго-небудзь|макулінка
Невялікі камічны літаратурны ці музычны твор|гумарэска
Невялікае сялянскае паселішча|вёска
Невялікі лірычны хвалебны верш|мадрыгал
Невялікі літаратурна-мастацкі твор напісанае з мэтай рассмяшыць чытача|гумарэска
Невялікі літаратурны твор|аповяд
Невялікі музычны твор, якое адрозніваецца прастатой выкладу і песенным характарам мелодыі|арыета
Невялікае новае што вылучылася з іншага сялянскае селішча|засценак
Невялікае памяшканне перад уваходам у тэатральнае ложа|аванложа
Невялікі гад, пакрытае дробнай рагавой луской|яшчарка
Невялікая пасудзіна з кнотам, наполняемый драўляным маслам і зажигаемый перад абразам, перад бажніцай|лампада
Невялікі орган (муз.)|пазітыў
Невялікі авадзень|броднік
Невялікі алень|мунтжак
Невялікі адрэзак сцябла, галінкі ад пладовага дрэва, які ўжываецца для прышчэпкі, пасадкі|тронак
Невялікі адрэзак уцёкаў з ныркамі ад пладовага дрэва для прышчэпкі, уляганні|тронак
Невялікі атожылак для пасадкі|высадак
Невялікі атрад міліцыі ці вайсковага падраздзялення для назірання за парадкам у вызначаным раёне|патруль
Невялікі асобны, гушчару стараверскі, манастыр у глухой мясцовасці|скіт
Невялікі адкрыты павільён|альтанка
Невялікі агмень для абагравання|камінак
Невялікі ўчастак сцяны ці дзверы, абведзены рамкай|філёнга
Невялікі ўчастак сялянскай гаспадаркі|парцэла
Невялікі ваенны карабель|тральшчык
Невялікі груз, подвешиваемый навошта-або, погружаемому ў ваду|грузіла
Невялікі грызун сямейства вавёрчыных|бурундук
Невялікая гліняная духавая музычная прылада, што мае сигарообразную форму|акарына
Невялікая канапа з падгалоўем|кушэтка
Невялікі жолаб|жалабок
Невялікая жылая добраўпарадкаваная хата ў прыгарадзе, мястэчку|катэдж
Невялікі завод па вытворчасці кондит. вырабаў|пякарня
Невялікая загарадная хата для адной сям'і|катэдж
Невялікі загаловак у тэксце|фортачка
Невялікая якая зачыняецца скрыня для дробных рэчаў|скрыначка
Невялікі зямельны ўчастак|парцэла
Невялікі карніз над вокнамі ці дзвярамі на фасадзе будынка|сандрык
Невялікі камін ці агмень для абагравання|камінак
Невялікі кол, завостраная палка|калок
Невялікі калектыў вайскоўцаў, што прыстане ў грамадскіх месцах да іншых вайскоўцаў|патруль
Невялікі кацёл|казанок
Невялікі кашалёк|партманетка
Невялікі кінжал з тонкім трохкантовым клінком|штылет
Невялікі лесапільны завод|лесапільня
Невялікая сенажаць, паляна|лужок
Невялікая алейная свяцільня перад абразам|лампада
Невялікая металічная пасудзіна для варэння ежы над агнём|кацялок
Невялікай малітваў. хата ў каталікоў|капліца
Невялікая малітоўная хата ў каталікоў|капліца
Невялікі манастыр у цяжкадаступнай мясцовасці|пустэльняў
Невялікі манастыр|пустэльняў
Невялікі населены пункт|вёска
Невялікі падстрэшак|брыль
Невялікі напільнік з дробным насяканнем, які ўжываецца пры дакладных інструментальных працах|надфіль
Невялікі невад, якім ловяць рыбу ўдваіх|броднік
Невялікі пераносны кампутар|наўтбук
Невялікі порт на рацэ, возеры|прыстань
Невялікі порт на ўнутраных водных шляхах|прыстань
Невялікая плоская пасудзіна з вечкам ці коркам|біклажка
Невялікая плоская пасудзіна з вечкам|біклага
Невялікі цёмны шар, што вылучаецца на фоне яркіх туманнасцяў Млечнага шляху|глобула
Невялікі кветнік|рокарий
Невялікі чорцік народных павер'яў з гусінымі лапкамі, якога можна прыцягнуць у хату, калі балбатаць нагамі пад сталом|анчутка
Невялікая шафа для захоўвання посуду, напояў, закусак|буфетец
Невялікі шторм на моры|хваляванне
Невялікая, звычайна плоская пасудзіна з вечкам ці коркам|біклага
Невялікі, глухі завулак|закутак
Невялікі, які праходзіць струмень ад дажджоў|паводка
Невялікія белыя пеністыя хвалі|баранчыкі
Нядбайная і без ведаў дзела праца|халтура
Невук, што выдае сябе за знаўцу, грубіянскі ашуканец|шарлатан
Нявыхаваная, грубіянская жанчына|мужычка
Няўроблены ўчастак зямлі, які пазарастаў травой|пустэча
Спакойны, велічна-спакойны чалавек|алімпіец
Несамавітая птушачка з вельмі прыгожым голасам|салавей
Неўмяшанне ў барацьбу іншых бакоў, чужыя спрэчкі|нейтралітэт
Невнесение грошай у выплату чаго-небудзь|няўзнос
Невысокая суцэльная сценка, што праходзіць па краі даху|парапет
