То ж, што пілястра|пілястра
То ж, што зоолатрия|анімалізм
Тая ці іншая ўласцівасць, якая вызначае добрая якасць чаго-небудзь|якасць
Ці то печыва, ці то кплівая мянушка ашуканага мужа|рогалик
То, з чым неабходна з'явіцца, каб змякчыць прысуд|пакаянне
То, ад чаго варта хутчэй ачысціцца|брыдота
То, дзеля чаго кожны жадае стаць яго кавалём|шчасце
То, па чым можна зрахаваць сваю пазіцыю і кірунак руху як у прамым сэнсе, так і ў пераносным|арыенцір
Тое, чаго не было|небыліца
То, чым салаўя не кормяць|побаска
То, чаму трэба вынікаць, пераймаць|узор
Тое, што А. Матросаў зачыніў сваім целам|амбразура
Тое, што створана ўяўленнем, фантазіяй|выдумка
Тое, што Клара выкрала ў Карла|кларнет
Тое, што ў жанчыны і на галаве, і на нагах|шпілька
Тое, што ўзаконіў Стары запавет і адпрэчыў Новы|рабства
Тое, што ўкладзена ў штосьці|укладыш
Тое, што даецца, атрымліваецца ў знак адмысловай падзякі, удзячнасці|узнагарода
Тое, што дзеліць лік (матем.)|дзельнік
Тое, што дастаўляе эстэтычную асалоду|прыгажосць
Тое, што дадаюць да стравы для густу|заправа
Тое, што прымушае прымус гарэць на працы|газа
Тое, што патрачана, выдаткавана|выдатак
Тое, што гуляла кожны вечар у двары, дзе ўсе дзеці паважалі Леньку Каралева (з песні Булата Окуджавы)|радыёла
Тое, што выраблена лепкай|лепница
Тое, што кладзецца ўнутр пірога, цукерак, тушкі|начынне
Тое, што можна ўбачыць кожны дзень па тэлевізары|рэклама
Тое, што можна вымераць, вылічыць|велічыня
Тое, што знаходзіцца за гранню жыцця|нябыт
Тое, што наносілі на дарожнае палатно персанажы аднаго папулярнага грузінскага кароткаметражнага фільма|разметка
Тое, што напаяна, прыпаяна|налітаванне
Тое, што трэба лебедзю, раку і шчупаку, каб ссунуць воз з месца|згода
Тое, што ўяўляецца позірку, прыцягвае позірк|гледзішча
Тое, што прызначана для выканання, даручэнне|заданне
Тое, што набыта, здабыта|добыток
Тое, што прыгатавана для ежы|страва
Тое, што з'яўляецца асабліва дарагім, любоўна захоўваемым і шанаваным|святыня
Тарэадор, які наносіць шпагай смяротны ўдар быку|матадор
Таросы на мялізны|стамуха
Тараідальная камера з магнітным полем для кіраванага ядзернага сінтэзу|такамак
Тараідальная камера з магнітнымі шпулькамі – адным словам|такамак
