Травяністая расліна, сямействы травы|бусенник
Травяністая расліна, сродак для адпужвання пчол|меліса
Травяністая расліна, сцеблы якога ідуць на выраб пянькі, а насенне – на масла|каноплі
Травяністая расліна, роднаснае архідэі, клубні якога ўжываюцца ў медыцыне|ятрышнік
Травяністая расліна, воднае|взморник
Травяністая расліна, дэкаратыўнае|бягонія
Травяністая расліна, заячая капуста|кісліца
Травяністая расліна, злоснае пустазелле|макрыца
Травяністая расліна, кармавая культура|люцэрна
Травяністая расліна, пакаёвае|амарыліс
Травяністая расліна, алейнае|вербена
Травяністая расліна, меданос|вераніка
Травяністая расліна, меданос|вятроўнік
Травяністая расліна, настойка якога ўжываецца для барацьбы з матыльком-капустницей|рагулька
Травяністая расліна, першацвет|прымула
Травяністая расліна, ежа богаў у інш. Грэцыі|амброзія
Травяністая расліна, эфирномасличная культура|лаванда
Травяністая расліна, атрутнае|пярэступ
Травяністая расліна|варсянка
Травяністая расліна|гарліца
Травяністая расліна|куркума
Травяністая расліна|зноскі
Травяністая расліна|жывакост
Травяністая расліна|цыкута
Травяністая дэкаратыўная расліна; паўхмызняк|базілік
Травяністая лекавая расліна|алтэя
Травяністая лекавая расліна|рамонак
Травяністая лугавая расліна сямейства розоцветных з буйнымі суквеццямі духмяных кветак|вятроўнік
Травяністая шматгадовая папараць|папараць
Трагедыя Альфьери|альцеста
Трагедыя Альфьери|актавія
Трагедыя Альфьери|Полиник
Трагедыя Еўрыпіда|Алкестида
Трагедыя Еўрыпіда|Іпаліт
Трагедыя Корнеля|Гарацый
Трагедыя В. Кюхельбекера|аргивяне
Трагедыя Вальтэра|танкред
Трагедыя Ж. Расина|Митридат
Трагікамедыя Шэкспіра|цимбелин
Традиц. ангельская мера аб'ёму – 163,65 л (для сыпкіх рэчываў)|барэль
Традыцыйная мера аб'ёму для сыпкіх рэчываў у ЗША – 115,626 л|барэль
Традыцыйнае руское выраб з лазы|кошык
Традыцыйная старажытнаруская пасудзіна для пітва на балях|конаўка
Традыцыйны персанаж італьянскай камедыі масак|арлекін
