Тып тэмпераменту чалавека|халерык
Тып тканіны (сярпянка)|сарпінка
Тып тканіны, паняцце ў батаніку|ксілема
Тып шрыфтоў, дызайн якіх узыходзіць да ўзораў эпохі Адраджэння (маюць засечкі на рысках літар)|антыква
Типогр. набор з павялічанымі прабеламі паміж літарамі|разрадка
Друкарская копія з карціны мастака|рэпрадукцыя
Друкарскі працоўны|наборшчык
Друкарскі лацінскі шрыфт з акругленымі контурамі|антыква
Друкарскі шрыфт|мітэль
Друкарская машына, якая адлівае набор цэлымі радкамі|лінатып
Тыпова ангел. браняносец|дрэдноут
Титанат стронцыя, синтетич. аналог мінерала таусонита|фабулит
Тытанічны жалязняк|ильменит
Тытул Дон Кіхота|идальго
Тытул у Англіі, сярэдні ў дваранскай іерархіі|баранэт
Тытул у Расіі|дваранін
Тытул іспанскіх і партугальскіх прынцэс каралеўскай хаты|інфанта
Тытул манарха ў некаторых краінах Блізкага і Сярэдняга Ўсходу|падышах
Тытул мусульманскага духавенства|аятала
Тытул кіраўнікоў некаторых індыйскіх правінцый|набоб
Памалу едзеш – нікому не павінен. – выкажаце здагадку аўтара выказвання|гаішнік
Ціша; штыль|бязветранасць
Тканая дарожка|палавік
Тканіна (рагожа)|рогожка
Тканіна з непрамакальным пакрыццём|цырата
Тканіна рэдкага перапляцення|рогожка
Тканіна рэдкага палатнянага перапляцення|рогожка
Тканіна для абутку|прунель
Тканіна для пашыву верхняй адзежы|каверкот
Тканіна з віскознага ці сінтэтычнага валакна вызначанай даўжыні|штапель
Тканіна са штучнага валакна|кримплен
Тканіна, аппретированный міткаль|каленкор
Тканіна, пакрытая воданепранікальным складам|цырата
Тканіна, палатно|зрэб'е
Тканіна, якая ўжываецца лекарам у ахоўных мэтах|марля
Тканіна, выгляд сукна|сярмяга
Тканіна, што выпрацоўвалася ручным спосабам па малюнках мастакоў у 17–18 павеках|габелен
Тканіна, выпрацаваная пад скуру|дерматин
Тканіна, з якой развіваецца новая асобіна пры бясполым размнажэнні шэрагу бесхрыбтовых|бластэма
Тканіна, якая пакрывае паверхня скуры|эпітэлій
Тканіна|мультан
Тканіна|лидочка
Тканіна|органза
Ткацкі, трыкатажны, сінтэтычны выраб, прызначанае для швіва|матэрыял
Кмен па сваёй сутнасці|рэзкая затаўка
Тысяча мільярдаў|трыльён
Тысячная частка ліку|праміле
Гарбуз, з якой на Ўкраіне рабілі корпус для балалайкі|гарлянка
Турэмная камера|кутузка
Турэмнае зняволенне вызначанай працягласці па прысудзе суда|тэрмін
Турэмны люкс|адзіночка
Цяжкі, грувасткі, нязграбны воз|калымага
Цяжкае захворванне вачэй|глаўкома
Цяжкае інфекцыйнае захворванне, выклікаецца харчовымі прадуктамі|батулізм
Цяжкавоз на колах|грузавік
Цяжкія жалезныя ланцугі на зняволеных|кайданы
Цяжкі сплаў на аснове медзі і нікеля, падобны на срэбра і шырока ўжывальны для сталовых прыбораў і посуду|мельхіёр
Цяжкі бензін|лигроин
