Аўтар оперы “Лалла”|Давыд
Аўтар оперы “Мефістофель”|Бойто
Аўтар оперы “Севиль”|Амиров
Аўтар оперы “Ткачы”|Неедлы
Аўтар оперы “Фатиница”|Зуппе
Аўтар вызначэння: “Дурань – усякі іншадумец”|Флобер
Аўтар помніка А. Пушкіну ў Санкт-Пецярбургу|Аникушин
Аўтар помніка А. Рублеву ў Маскве|Комов
Аўтар помніка Кутузаву ў Казанскага сабора?|Арлоўскі
Аўтар першага рускага падручніка – Чытанкі, выдадзенага ў 1634 г.|Бурцев
Аўтар першага рускага падручніка шахматнай гульні|Пятроў
Аўтар першага летапісу на малдаўскай мове|Уреке
Аўтар першых правіл спаборніцтваў па боксе|Бротон
Аўтар песень да м/ф “Кароль-леў”|Джон
Аўтар песні “Адважна, таварышы, у нагу”|Радин
Аўтар лістоў, не які заве свайго імя|ананімшчык
Аўтар ліста ці складанні, не што назваў свайго імя|ананім
Аўтар ліста ці складанні, які схаваў сваё імя|ананім
Аўтар аповесцяў “Доктар Крупаў”, “Сарока-зладзейка”|Герцэн
Аўтар аповесцяў “Калегі”, “Зорны квіток”, “Апельсіны з Марока”|Аксёнаў
Аўтар аповесці “Бялее ветразь самотны”|Катаев
Аўтар павесці “Вий”|Гогаль
Аўтар павесці “Нос”, “Тарас Бульба”|Гогаль
Аўтар павесці “Сын палка”|Катаев
Аўтар павесці “Яма”|Купрын
Аўтар павесці “Яр”|Ясенін
Аўтар павесці-казкі “Стары Хоттабыч”|Лагин
Аўтар партрэтнай галерэі Герояў Айчыннай вайны 1812 г.|Доу
Аўтар паэмы “Балада пра дваццаць шасці”|Ясенін
Аўтар паэмы “Пулковский мерыдыян”|Инбер
Аўтар праекта новага Вялікага тэатра, адкрытага ў 1856 г. замест згарэлага ў 1853 г. Вялікага Пятроўскага тэатра|Кавос
Аўтар твораў “Грыф – птушка цярплівая”, “Саван для сведкі”, “Труна з Ганконга”|Чейз
Аўтар твораў “Няма архідэй для місіс Блэндиш”, “Ты будзеш самотны ў сваёй магіле”|Чейз
Аўтар твора “Спадарычна-сялянка”|Пушкін
Аўтар твора “Бахчысарайскі фантан”|Пушкін
Аўтар твора “Вечар напярэдадні Івана Купала”|Гогаль
Аўтар твора “Граф Нулин”|Пушкін
Аўтар твора “Яўгеній Онегин”|Пушкін
Аўтар твора “Егіпецкія ночы”|Пушкін
Аўтар твора “Каменый госць”|Пушкін
Аўтар твора “Капітанская дачка”|Пушкін
Аўтар твора “Медны вершнік”|Пушкін
Аўтар твора “Віновая дама”|Пушкін
Аўтар твора “Руслан і Людміла”|Пушкін
Аўтар твора “Казка пра залатога пеўнічка”|Пушкін
Аўтар твора “Казка пра мёртвую царэўну і сямі волатах”|Пушкін
Аўтар твора “Казка пра попу і працаўніку Доўбню”|Пушкін
Аўтар твора “Станцыйны наглядчык”|Пушкін
Аўтар п'есы “Каханне Яравая”|Тренев
Аўтар п'есы “Прывіда”|Ибсен
Аўтар п'есы “Сирано дэ Бержерак”|Ростан
Аўтар п'есы “Царская нявеста”, на сюжэт якой Рымскі-Карсакоў стварыў аднайменную оперу|Мей
Аўтар п'есы “Царскае паляванне”|Зорин
Аўтар аповяду “Вавілонская латарэя”|Борхес
Аўтар аповядаў пра Данілу-майстры і Гаспадыню Меднай Гары?|Бажов
Аўтар рамана “Багатыр і бядняк”, які ўтрымоўвае і крымінальную лінію|Ирвин
Аўтар рамана “Вагон”|Ажаев
Аўтар рамана “Ўся каралеўская раць”|Уоррен
Аўтар рамана “Далёка ад Масквы”|Ажаев
Аўтар рамана “Дафнис і Хлоя”; фр. піяністка|Лонг
Аўтар рамана “Дафнис і Хлоя”|Лонг
Аўтар рамана “Дзеці Арбата”?|Рыбакоў
Аўтар рамана “Дарога нікуды”|Грин
Аўтар рамана “Язмін”|Ула
Аўтар рамана “Іду на навальніцу”|Гранин
Аўтар рамана “Імя Ружы”|Эка
Аўтар рамана “Гісторыя Жиль Блаза з Сантильяны”|Лесаж
Аўтар рамана “Гісторыя кавалера дэ Грие і Манон Леско”|Прево
Аўтар рамана “Лоцман”|Купер
Аўтар рамана “Людзі застаюцца людзьмі”|Пиляр
Аўтар рамана “Над зязюліным гняздом”|Кизи
Аўтар рамана “Падзенне Кимас-азёры”|Фиш
Аўтар рамана “Переяславская радая”|Рыбак
Аўтар рамана “Планета малп”|Буль
Аўтар рамана “Скарлетт”|Риплей
Аўтар рамана “Чумны воз”|Раабе
Аўтар рамана-казкі “Тры таўстуна”|Олеша
Аўтар раманаў “Тры таварыша”, “Чорны абеліск”|Ремарк
Аўтар размалёвак на фасадзе Політэхнічнага музея ў Маскве, створанага ў 1917 г.|Макеев
Аўтар размалёўкі плафона “Парнас, Апалон і Музы”|Скотти
Аўтар складанкі ўральскіх сказаў “Малахітавая скрыначка”|Бажов
Аўтар серыі карцін “Бедства вайны”|Калло
Аўтар сістэмы пазначэння астэроідаў|Боуэр
Аўтар казкі “Звычайны цуд”, па якой М. Захараў зняў аднайменную кінастужку|Шварц
Аўтар казкі “Прыгоды Нязнайкі і яго сяброў”|Насоў
