Акцёр з фільма “Афіцэры”|Юматов
Акцёр пантамімы (агульнае)|мім
Акцёр з голасам В. Высоцкага, які згуляў у кіно графа Монте-Кристо|Авилов
Акцёр з характэрнымі рысамі якой-небудзь групы людзей|тыпаж
Акцёр тэатра Вахтангова|Шчукін
Акцёр тэатра і кіно|Быкаў
Акцёр тэатра ім. Моссовета, які зняўся ў тэлесерыяле “17 імгненняў вясны”|Плятт
Акцёр тэатра, народны артыст|Осис
Акцёр, што замяняе выканаўца асноўнай ролі|дублёр
Акцёр, знаёмы гледачу па фільмах “Мы з джаза”, “Батальёны просяць агню”|Скляр
Акцёр, які гуляў у Мхате, народны артыст СССР|Яршоў
Акцёр, гулец без слоў|мім
Акцёр, што выканаў галоўную ролю ў фільме “Спадар афарміцель”|Авилов
Акцёр, які выканаў роля злыдня ў “Хуткасці-2”|Дэфо
Акцёр, выканавец ролі Корчагина ў фільме “Як гартавалася сталь”|Конкин
Акцёр, выканавец ролі Люка ў да/фільме “Зорныя войны”|Хэмилл
Акцёр, кінарэжысёр, да/ф “Каліна чырвоная”|Шукшын
Акцёр, па-майстэрску што згуляў Казанову ў серыяле “Вуліцы пабітых ліхтароў”|Лыков
Акцёр, нар. артыст СССР; сав. паэт|Жаров
Акцёр, нар. артыст СССР; сав. футбаліст|Цароў
Акцёр, нар. артыст СССР|Жаров
Акцёр, нар. артыст СССР|Цароў
Акцёр, народны артыст СССР, які выступаў у Яраслаўскім тэатры ім. Ф. Волкова|Бялоў
Акцёр, спявак і кіраўнік эстраднага аркестра, народны артыст СССР па імі Леанід|Уцёсаў
Акцёр, педагог, н. а. СССР, зняўся ў фільме “Аповесць пра сапраўднага чалавека”?|Меркурьев
Акцёр, які правёў сам-насам з К. Бесинджер цэлых 9 з паловай тыдняў|Рурк
Акцёр, смяротна які раніў прэзідэнта А. Лінкольна|Буцаў
Акцёр, які зняўся ў трылеры Хічкока “Сабатаж”|Конрад
Акцёр, што зняўся ў фільмах “Смешная дзяўчынка”, “Хэлло, Долли”, “Золата Маккены” і інш.|Шарыф
Акцёр, які зняўся ў фільме “Імітатар”|Скляр
Акцёр, што згуляў Томаса Джэферсана ў “Джэферсан у Парыжы”|Нолт
Акцёр, які згуляў аднаго з выкрадальнікаў каўказскай палонніцы|Вицин
Акцёр, што згуляў пастара, якому прыйшлося ўпершыню ўстаць на лыжы|Плятт
Акцёр, які згуляў вязня замка Иф у расійскім кіно|Авилов
Акцёр, гл. герой мекс. тэлесерыяла “Ніхто, акрамя цябе”|Гарсия
Акцёр-легенда, суперзвезда Галівуду 50-х – 60-х “Бэн Гур”, “Антоній і Клеапатра”|Хестон
Акцёр-блазан|буфон
Акцёр|Чэхаў
Акцёрская адмысловасць Марсэлю Марса|мім
Акцёрскае амплуа|кокет
Актываваны вугаль?|адсарбент
Актыўны клев|жор
Актыўны фермент, які змяшчаецца ў дынном дрэве|папаин
Актынідыя|ківі
Актынія|паліп
Актыноід, радыёактыўны элемент|фермій
Акторка воднага цырка|афалина
Акторка што згуляла ў “Панесеных ветрам”|Лі
Акторка, у фільме “Мост Ватэрлоо”|Лі
Акторка, якая адлюстравала Маленькую Веру ў кіно|Негода
