Скура натуральная недубленая|сырамяць
Скураная куртка ці кароткае скураное паліто|скуранка
Скураныя пацеркі ў старавераў|лестовки
Скураны кружок на канцы кія|налепка
Кожезаменитель|павинол
Скурная хвароба, гиперфункция лоевых залоз|себарэя
Кока Шанэль. Сапраўднае імя|Габрыэль
Кол плюс шэсць зеро|мільён
Кола ў зубчастай перадачы|шасцярня
Кола для кіравання засланкай на трубаправодзе і т. п.|штурвал
Кола, якое рэгулюе ход гадзін|ківач
Ваганні з чашчынёй, кратнай асноўнаму тону|абертон
Калена песні рускай канаркі, доўгі звонкі пошчак|россып
Калена песні высакароднай канаркі, разнавіднасць грымоты, што нагадвае гук якая струменіцца вады|што цурчыць
Колорадский жук, як прадстаўнік свайго сямейства|лістаед
Колокольник|званар
Званіца Івана Вялікага ў Маскве (прызначэнне)|званіца
Званіца|званіца
Калумб прывёз яе ў дарунак іспанскай каралеве. Імем гэтай каралевы, трохі перакручаным, імем яна называецца і дагэтуль|марыхуана
Калумбія, адм. ц. дэпартамента Киндио (горад у Амерыцы)|Арменія
Колбообразный асвятляльны электрычны прыбор з тугаплаўкім які напальваецца правадыром|лямпачка
Вядзьмак, выкрадальнік Людмілы (Руслан і Людміла)|Черномор
Вядзьмарка, варажбітка|чараўніца
Колькасная адзнака папулярнасці, аўтарытэту і т. п., атрымоўваная па выніках уліку меркаванняў публікі (апытання і т. п.)|рэйтынг
Колькасць пунсовых руж, падораных Р. Паулсом А. Пугачовай|мільён
Колькасць руху|імпульс
Колькасць настрыжанай поўсці|настрыг
Колькасць тытуню, неабходнае, каб пакурыць адзін раз|закурка
Колькасць цеплыні, поглощаемой целам пры награванні на адзін градус|цеплаёмістасць
Колькасць, якое вымяраецца ў сотых дзелях чаго-небудзь, прынятага за адзінку|адсотак
Калегіяльны орган, кіраўнічы які-небудзь працай|камітэт
Калегія святароў|капітул
Калектыў артыстаў тэатра, цырка і т. п.|трупа
Калектыў спартоўцаў|каманда
Калектыў працаўнікоў|брыгада
Калектыў, які ідзе з песняй па жыцці|капэла
Калектыўная просьба ў пісьмовай форме, звернутая да ўлад|петыцыя
Калектыўная просьба да ўлад у пісьмовай форме|петыцыя
