Цукерка з маку|верхавіна
Цукерачнае дрэва родам з Кітая|говения
Цукеркі ці густая салодкая маса, выпрацоўваемая з фруктова-ягадных сокаў, желейных рэчываў і цукры|мармелад
Канцэртны перакур|антракт
Канцэнтраваны раствор, які разводзяць перад ужываннем|эсэнцыя
Скончыць пісаць (сущ. ад глаг.)|дапіска
Конь Аляксандра Македонскага|Буцэфал
Конь Дон Кіхота|Росинант
Конь, якому ў зубы не глядзяць|падарунак
Стайня для рагатага цягла|воловня
Капейкавая купля вылучна для мухі (сказоч.)|самавар
Капейшчык, узброены пікай салдатаў|пікінёр
Маруда, жанчына, якая робіць усё павольна і млява|капуха
Капіявальная папера|капірка
Копія з манеты ці медалі метадам гальванапластыкі|гальвана
Копія дакумента, вырабленая на аснове арыгінала і мелая аднолькавую з ім юрыдычную сілу|дублікат
Копія часткі тэкставага дакумента|выпіс
Капа са злучаных разам дваццаці пяці снапоў|крыж
Вэнджаніна са спінной часткі свініны|карэйка
Вэнджаны выраб са спінной часткі свініны|карэйка
Вэнджаны прадукт са свініны|карэйка
Хвасцец як недаразвіты хвост|зародак
Капытнае роды лам|гуанака
Капытная жывёла|аўцабык
Капытнае, антылопа|джэйран
Капытнае, сібірскі бязрогі алень|кабарга
Капытнае, одногорбый вярблюд|драмадэр
Капытнае, двухгорбы вярблюд|бактрыян
Капытнае, лось|вілаваты
Кот з мультфільма|Леапольд
Котлетный атожылак|тефтеля
Качавы народ цюркскага паходжання, што жыў на поўдні Расіі ў ХI–пач. ХIII стст.|полаўцы
Качэўнікі, бесперапынку здзяйснялыя набегі на тэрыторыю Старажытнай Русі|печанегі
Качавыя арабскія плямёны|бедуіны
Качавыя арабы Аравійскага п-ова і Сяўба. Афрыкі|бедуіны
Прыгажосць Квазімода|пачварнасць
Прыгожая, але ў сутнасці пустая гаворка|рыторыка
Прыгожае лясное гледзішча, у гонар якога завуць зайчанят, якія з'явіліся на святло ўвосень|лістапад
Прыгожыя словы пра прыгажосць|эстэтыка
Фарбы, расцёртыя на яечным жаўтку|тэмпера
Чырвоная сінтэтычная шпинель|альмандит
Чырвона-буры налёт на жалезе, што ўтвараецца з прычыны акіслення|іржа
Чырвонае сталовае марачнае віно|мукузани
Красамоўны аратар|залатавуст
Чырвонагруды верабей|гіль
Краснадарскі край (горад)|Тимашевск
Краснадарскі край, на р. Кубань (горад)|Армавир
Краснаярскі край (горад)|Боготол
Чырвонае багавінне (ед. ч.)|багрянка
Чырвонае багавінне|багрянки
Чырвоны казачны сіньёр|памідор
Чырвоны перац|папрыка
Чырвоны трифенилметановый фарбавальнік|родамин
Якая фарбуе вадкасць для пісання|чарніла
Што фарбуюць рэчывы (адказ у мн. ч.)|пігменты
Краязнаўца-аматар у Мытищах|Пекунов
Краявы камітэт|крайком
Краявы цэнтр у Расіі|Барнавул
Крухмал з маніёкі|тапиока
Крухмал, які атрымліваецца з карэнішчаў, клубняў і пладоў трапічных раслін|арарут
Край з цэнтрам ва Ўладзівастоку|Прымор'е
Край горада, прыгарад|ускраіна
Край вёскі|ваколіца
Край дарогі|абочына
Вельмі небяспечнае атручванне таксінам, што ўтвараюцца пры псуце кансерваў без доступу паветра|батулізм
Вельмі жорсткі, крыважэрны чалавек|канібал
Крайні сродак для прыгнечання цягі да спіртнога: вшиваемая ў цела пранікальная ампула з прэпаратам|тарпеда
Крайняе здзіўленне, спалох|збянтэжанасць
Крайняя праява чаго-небудзь, няўстрыманасць, празмернасць|эксцэс
Крайнасць у якіх-небудзь патрабаваннях, поглядах|максімалізм
Крайнасць, у дзелавой актыўнасці, якая шкодзіць справе|перагін
Крайні скептыцызм: адмаўленне агульнапрынятай маралі, культуры, ідэалаў|нігілізм
Крайні нацыяналізм, што прапаведуе нацыянальную і расавую выключнасць і які распальвае нацыянальную варожасць і нянавісць|шавінізм
Крайняя ступень некультурнасці|дзікасць
Крайняя дошка пры падоўжнай распилке бервяна, аднаго боку выпуклая|аполак
Крайняя дошка, што атрымліваецца пры распілоўцы бервяна|аполак
Крайняя кропка пункта, за якую можна выйсці (песеннае)|ваколіца
Крайняя форма расавай дыскрымінацыі, сегрэгацыі|апартэід
Кратк. спеў догматич. утрыманні ў гонар Багародзіцы|дагматык
Кароткатэрміновая арэнда машын і абсталяванні без права іх наступнага набыцця арандатарам|рентинг
Кароткатэрміновы адпачынак вайскоўца|звальненне
Сцісласць і выразнасць выкладу|лаканізм
Сцісласць, пародненая са змястоўнасцю|лаканізм
Кароткае паведамленне пра факт|хроніка
Кароткае паведамленне прэм'ер-міністра ці міністра па бягучых пытаннях у парламенце|экспазе
Кароткае ёмістае выслоўе|афарызм
Кароткае апісанне характару чалавека, складзенае на аснове яго даты нараджэння|гараскоп
Кароткае апісанне кнігі, артыкулы і т. п., рэферат|анатацыя
Кароткі адступ ад асноўнай тэмы лекцыі|экскурс
Кароткая тлумачальная заўвага, наступнае за бібліяграфічным апісаннем якога-небудзь складання|анатацыя
Кароткае хрысціянскае набажэнства|набажэнства
Кароткае выразнае выслоўе, якая змяшчае абагульняючая выснова|афарызм
Кароткая заўвага, пярэчанне, адказ|рэпліка
Кароткае выслоўе, выгляд афарызму|максіма
Кароткі выклад утрымання оперы, балета|лібрэта
Кароткі выклад утрымання справы з прывядзеннем вынятак з дакументаў у дзярж. установах дорев. Расіі|экстракт
Кароткі выклад утрымання кнігі, артыкулы|рэферат
Кароткі выклад утрымання п'есы, оперы, балета|лібрэта
Кароткі выклад дзеянняў, проишествий у іх паслядоўнай сувязі|фабула
Кароткі выклад якога-небудзь дакумента ці вытрымка з яго|экспазе
Кароткі выклад якой-небудзь справы|цыдулка
Кароткі выклад навуковай працы, артыкулы|рэферат
Кароткі выклад навуковай працы, кнігі|рэферат
Кароткі выклад, тэкст оперы, аперэты, сцэнар балета|лібрэта
Кароткачасовы стан непрытомнасці, надыходзячае з прычыны захворвання ці моцнага стрэсу|непрытомнасць
Кароткачасовае падвышэнне ўзроўня вады|паводка
Фарбаванне мазаічным малюнкам ці ўзорам, вгладь урэзаным у паверхню выраба (дрэвам па дрэве)|інтарсія
Крэсла манарха як знак улады|пасад
Крыж з загнутымі пад прамым кутом канцамі, сустраканы ў мастацтве старажытных культур Індыі, антычных арнаментах|свастыка
