Беларускі мастак|Цвирко
Беларуская страва з фасолі, ячнай кашы і маслы|щупиня
Беларуская страва накшталт украінскіх галушак|каўкі
Беларуская назва рыбы рапушкі|селява
Беларуская назва цуры з хлеба, квасу, лука і часныку|цура
Беларускі ручнік для посуду|скарач
Беларускае набыццё Мілана?|Кутузаў
Белыя мухі|снег
Белы – зверху, “чырвоны” – знізу, паміж імі – “галубай” – які знак апісаны гэтай сэкс-жартам?|сцяг
Белы журавель, які насяляе ў тундры Якутыі і нізоўяў Обі|стерх
Белы заяц?|бяляк
Белае мультыплікацыйнае медзведзяня|умка
Белы налёт на злівах, вішні – абарона ад мікраарганізмаў|пруин
Белы напой, якім заварваюць шалвею, каб прыгатаваць пітво ад падвышанай потлівасці|віно
Белы шчыльны керамічны матэрыял|парцалян
Белы парашок горкага густу з кары трапічнага дрэва, які ўжываецца як лекі супраць малярыі|хінін
Белы пудзель з аднайменнага аповяду Аляксандра Купрына|арто
Белы стаў знакам чысціні, жоўты – здрады, чырвоны паказваў на каханне Бога, зялёны азначаў маральнае падзенне і роспач. А які колер стаў знакам Хрыста і выратаванні?|сіні
Белы тыгр, у інш.-кітайск. міф. дух-заступнік Захаду|байху
Белая перапечка?|рогалик
Белы шар пры гульні ў снукер|біток
Бельг. кампазітар і музыкавед 19 ст.|Фетис
Бельг. кампазітар|Геварт
Бельг. кароль|Бодуэн
Бельг. майстар, вынаходнік муз. прылады|Сакс
Бельг. скрыпач, кампазітар 19 ст.|Берио
Бельг. скрыпач, кампазітар, дырыжор|Изаи
Бельг. сацыяліст|Брукер
Бельг. мастак і скульптар|Менье
Бельг. мастак, маскі|Энсор
Бельг. хімік-арганік, спец. па вывучэнні фторарганічных асяроддзяў|Свартс
Бельгіец, якому атрымалася вывесці закон незваротнасці эвалюцыі|Долло
Бельгіец, арганізатар сусветнага аб'яднання бібліёграфаў|Отле
Бельгийск. архітэктар (стыль мадэрн)|Орта
Бельгійская грашовая адзінка ў перыяд 1926–1946 гг.|Бельга
Бельгійскі архітэктар (род. 1876)|Авербеке
Бельгійскі архітэктар 19–20 стст., (?) Уайтхолл у Лондане|Велде
Бельгійскі архітэктар (стыль мадэрн), 19–20 стст., музей Гугенхэйма ў Нью-Ёрку|Орта
Бельгійскі архітэктар|Ортар
Бельгійскі біяхімік. Нобелеўская прэмія (1974, сумесна з Дж. Э. Паладе і К. Р. Дэ Дювом)|Клод
Бельгійскі иммунолог і бактэрыёлаг, распрацаваў метад імунізацыі супраць коклюшу|Борде
Бельгійскі иммунолог і бактэрыёлаг. Нобелеўская прэмія (1919)|Борде
Бельгійскі майстар духавых прылад|Сакс
Бельгійскі зброевы прамысловец і канструктар|Наган
Бельгійскі пісьменнік, аўтар рамана “Сям'я Метсирс”|Клаўс
Бельгійскі разьбяр манетных штэмпеляў і медальер (1796–1864)|Брамт
Бельгійскі скрыпач-віртуоз, кампазітар|Изаи
Бельгійскі навуковец, лаўрэат Нобелеўскай прэміі па фізіялогіі і медыцыне|клод
Бельгійскі хімік (1813–1891)|Стас
Бельгійскі хімік-тэхнолаг і прамысловец (інш-у соды)|Сольве
Бельгія (горад у Еўропе)|Спа
