Хвароба са старорусских часоў?|хворость
Хвароба канёў|сап
Хвароба; малакроўе|анемія
Хвароба птушак – жарсцвяны нараст на кончыку мовы|ціпун
Хвароба раслін, выкліканая грыбамі|аскохитоз
Хвароба раслін|антракноз
Хвароба раслін|гоммоз
Хвароба сардэчнай цягліцы|ішэмія
Хвароба суставаў|артрыт
Хвароба вуха|атыт
Хвароба бавоўніка|вилт
Хвароба, запаленне нырак|нефрыт
Хвароба, выкліканая недахопам інсуліну|дыябет
Хвароба, якая выклікаецца недахопам вітамінаў у арганізме|цынга
Хвароба, што выклікаецца недахопам вітамінаў?|авітаміноз
Хвароба, якая вылечвае чалавека, што захапляецца пісанінай|аграфія
Хвароба, якая пакідае пасля сябе шнары|воспа
Хвароба, якая ўяўляе час для чытання дэтэктываў|грып
Хвароба, якой пакутаваў імператар Аляксандр III|алкагалізм
Хвароба, якую завуць чумой ХХ стагоддзі|СНІД
Хвароба, пра якую ёю пакутуючыя кажуць: “Дыхаць цёмна”|астма
Хвароба, збрыджвалая твар|воспа
Хвароба, пры якой затыхаюцца|астма
Хвароба, якая развіваецца з-за празмернага спажывання спіртных напояў|алкагалізм
Хвароба, сінонім дыярэя|панос
Хвароба; аповяд Купрына|адзёр
Хвароба; верш. М. Лермантава|чума
Хвароба|ішыяс
Хвароба|адзёр
Хвароба|чума
Хвароба|язва
Балеро|равель
Балетныя туфлікі|пуанты
Балівія (горад у Амерыцы)|Оруро
Баліць пры ангіне|горла
Біялагічна актыўнае рэчыва|антыметабаліт
Багністая мясцовасць|нізіна
Балотная водарасць|ціна
Балотная штодзённасць|руціна
Балотная птушка з доўгай дзюбай|бакас
Балотная птушка, малы бугай|турок
Балотная птушка, пра якую існуе руская народная песня|кнігаўка
Балотная птушка, роднасная бакасу, куліку|дупель
Балотная багна|няша
Балотная трава, лек. расліна|асот
Балотная трава|уруть
Балотная ягада|журавіны
Балотны ласунак ласёў|урэчнік
Балотная расліна, пра сцеблы якога можна парэзацца|асот
Балотная расліна з ягадамі|журавіны
Балотная расліна|аер
Балотная расліна|сусак
Балотнае паліва|метан
Балотнае травы. расліна|чарот
Балотнае травы. расліна|мячэўнік
Балотныя боты ў рускім фальклоры|бахілы
Балотны бабёр, грызун з асцюкаватай поўсцю|нутрыя
Балотны засмокт|багна
Балота ў тайзе|согра
Балота, багна|багна
Якая матляецца частка большасці жывёл|хвост
Балбатлівая жанчына, ляскотка|сарока
Балбатун, гаварун|трапло
Боль у вачах ад стомленасці|рэзь
Боль у суставах|артралгия
Лякарня для душ, зраненых грамадствам|вера
Бальнічная палата для самалёта|ангар
Бальнічнае, пірацкае ці паветранае|судна
Хворай “гарыць”|жар
Хворай крэтынізмам|крэтын
Вялікая афрыканская птушка|страўс
Вялікая балотная птушка атрада падгалістых|чапля
Вялікая балотная птушка, па якой названа постаць сінхроннага плавання|чапля
Вялікая быстробегающая птушка|страўс
Вялікая вадаплаўная птушка сямейства качыных з доўгай, хораша выгнутай шыяй|лебедзь
Вялікая хваля|вал
Вялікая высокая капа сена|стог
Вялікая высокая куча шчыльна выкладзенага сена|стог
Вялікі акраец хлеба|акраец
Вялікая група хатніх жывёл, перегоняемая з аднаго месца на іншае|гурт
Вялікая група людзей з вызначаным становішчам у сістэме грамадскай вытворчасці|клас
Вялікая дзвярная засаўка|завала
Вялікі дваровы сабака|барбос
Вялікая двухмачтовая лодка з касымі ветразямі|лайба
Вялікая дзікая амерыканская котка, кугуар|пума
Вялікая доўгая (звычайна карэта) калёсы|фура
Вялікі доўгі воз|фура
Вялікая дарога з заезнымі дварамі і верставымі слупамі (устар.)|гасцінец
Вялікая дарога, на якую выходзіць індзеец з тамагаўкам|сцежка
Вялікая дарожная карэта|дармез
Вялікая ёмістасць|чан
Вялікая фіранка|завеса
Вялікая змяя сямейства ўдаваў|пітон
Вялікая змяя, якая ўвінае сваю ахвяру пры нападзе|удаў
Вялікая і лёгкая спартовая ветразная лодка|яхта
Вялікая ці малая, але ўсё адно кліча ў туалет|патрэба
Вялікая кадка|дошник
Вялікая кадка|кадь
Вялікая канава, глыбокая яма|роў
Вялікая шпулька для навіўкі нітак асновы|навой
Вялікі пакой для паседжанняў і мерапрыемстваў|зала
Вялікая круглая плоская пасудзіна, у якой запальвалі кнот і асвятлялі сялянскія хаты|каганец
Вялікая круглая пляцоўка пасярэдзіне цырка|арэна
Вялікія крытыя калёсы|фура
Вялікая куча камянёў|груда
Вялікая аладка з запечанымі кавалачкамі сыра, мяса, гародніны, грыбоў|піца
Вялікая лодка жыхароў Прыбалтыкі|лайба
Вялікая лодка|ладдзя
Вялікая лодка|шитик
Вялікая аматарка ваўняных вырабаў|моль
Вялікае каханне І. Тургенева|Виардо
Вялікая машына для выраба буйных металічных вырабаў|постаць
Вялікая металічная лапата для земляных прац|рыдлёўка
Вялікая аб'езджаная дарога ў старой Расіі|гасцінец
Вялікая ненармальная выпукласць на спіне чалавека, якая ўзнікае з прычыны дэфармацыі хрыбетніка|горб
Вялікая неядовитая змяя|удаў
Вялікая вобласць, група суседніх краін ці тэрыторыі, раёны, аб'яднаныя па якіх-небудзь агульных прыкметах|рэгіён
Вялікі адкрыты круглявы посуд для віна, піва ці брагі, металічная ці драўляная, з шырокім лычыкам|яндоўка
Вялікі адкрыты посуд для пітва, што выкарыстоўвалася ў сялянскім побыце|яндоўка
Вялікая палата|шацёр
Вялікі намёт, крытая тканню, дыванамі|шацёр
Вялікая плывучая мішэнь для артылерыйскай стральбы на моры|шчыт
Вялікая пуга|пуга
Вялікая плоскодонная лодка з ветразем і вёсламі ў старажытнай Русі|ушкуй
Вялікая шчыльная куча сена, саломы|стог
Вялікі прыбытак; у старажытнасці краіна ў Афрыцы; амерыканскі фізік|куш
Вялікі прыбытак|куш
Вялікая падарожная дарога|гасцінец
Вялікая прамысловая лодка ў эскімосаў|умиак
Вялікая птушка сямейства буслаў з неоперенной галавой і доўгай дзюбай|марабу
Вялікая розніца ў чым-небудзь, рэзкая супрацьлегласць|кантраст
Вялікая роўная пляцоўка для гульні|поле
Вялікая рыбалоўная сетка|невад
Вялікая чарка|куфель
Вялікі звязак рэчаў|цюк
Вялікая сястра ліры|арфа
Вялікая сетка на рыбалоўным караблі|трал
Вялікая станцыя для дваіх (киношн.)|вакзал
Вялікая станцыя на шляхах зносін|вакзал
Вялікая талерка для падачы стравы на стол|страва
Вялікія калёсы з рашэцістымі сценкамі, у якую запрагаюць валоў|мажара
Вялікі тоўсты абаранак з некрутого цесты|абаранак
Вялікая тоўстая шаль, выкарыстоўваная таксама як коўдра|плед
Вялікая драпежная змяя трапічных краін|удаў
Вялікі цыганскі намёт|шацёр
Вялікая частка свету дакладная гэтай рэлігіі|іслам
Вялікая частка мора ўцячэ да неба і не вернецца на працягу доўгага часу|аблокі
Вялікая чара, кубак, мера вагі (О. Хайям)|ратл
Вялікая шлюпка (20 і весялейшы)|баркас
Вялікая эскімоская лодка|умиак
Вялікая, з двума процілеглымі выйсцямі галерэя, на якой размешчаны ў некалькі ярусаў крамы, службовыя памяшканні|пасаж
Больш моры|акіян
Больш, чым жыццё|стаўка
Больш, чым калега|субрат
Больш, чым талент|геній
Бальшавіцкая легальная газета, якая выдавалася ў Пецярбургу ў 1906 году|рэха
Вялікія Сочы|Хаста
Вялікія шалі для грувасткіх прадметаў|падвага
Вялікія шалі для цяжкіх прадметаў|падвага
Вялікія гонкі спартовых судоў|рэгата
Большасць жанчын карыстаюцца і з'ядаюць. Мужчыны не карыстаюцца, але з'ядаюць да 15 кг за жыццё?|памада
Вялікі багаты будынак, памяшканне|палата
Вялікае хуткаходнае судна, а таксама вялікі пасажырскі самалёт|лайнер
Вялікае дрэва з зелянява-шэрай карой і шырокім лапчастым лісцем|платан
Вялікае зачыненае памяшканне для спартовых гульняў, для заняткаў гімнастыкай, лёгкай атлетыкай|манеж
Вялікі і пышны будынак|палац
Вялікая колькасць караблёў (у войнах 20 ст. таксама самалётаў, танкаў), дзейсных на адным кірунку ўдару|армада
Вялікая колькасць чаго-небудзь|бярэмя
Вялікае сялянскае паселішча|села
Вялікае лісцянае дрэва з трывалай драўнінай сямейства ильмовых|вяз
Вялікае лісцянае дрэва з трывалай драўнінай|дуб
Вялікі літаратурны твор, звычайна ў вершах|паэма
Вялікае аб'яднанне вайскоўцаў|войска
Вялікае ветразнае марское судна|барк
Вялікае пасажырскае судна (параход ці самалёт)|лайнер
Вялікі апавядальны, мастацкі твор са складаным сюжэтам|раман
Вялікае памяшканне ў грамадскіх будынках|хол
Вялікае памяшканне для правядзення збораў, канцэртаў і т. п.|зала
Вялікае памяшканне перад уваходам ва ўнутраную частку будынка?|вестыбюль
Вялікае памяшканне, прызначанае для адпачынку, чаканні|хол
Вялікае раскошнае памяшканне|апартамент
Вялікае сіта; моцны шум, удары|грукат
Вялікае сіта|грукат
Вялікая скупнасць людзей|натоўп
Вялікае злучэнне караблёў, самалётаў ці танкаў, якія дзейнічаюць согласованно|армада
Вялікае злучэнне караблёў, самалётаў, танкаў|армада
Вялікае змаганне на вяслярных, ветразных судах|рэгата
Вялікі вершаваны твор на гістарычную, гераічную ці ўзнёслую лірычную тэму|паэма
Вялікае стаялае люстэрка|трумо
Вялікае такое каралавае кольца|атол
Вялікае цёмнае воблака|хмара
Вялікі ўрачысты збор ААН|асамблея
Вялікая цяжкая прылада для ручнога кавання|молат
Вялікая павага|пашана
Вялікі, пышны будынак|палац
Вялікае, раскошнае памяшканне|апартаменты
Вялікі бітон; плоская паходная бутэлька|пляшка
Вялікі бітон|пляшка
Вялікі куфель на высокай ножцы|фужэр
Вялікі папернік|тэчка
