Вандроўны студэнт ці клірык|вагант
Вандроўны гандляр, каробачнік|афеня
Вандроўны гандляр, які прадаваў даўней па вёсках мануфактуру, галантарэю, кніжкі|афеня
Вандроўны штукар у краінах Усходу|факір
Брокер, не явлющийся чальцом біржы|аўтсайдар
Брокер, пра які кажуць: “маўчыць як партызан” (брок. жаргон)|сляпы
Бронзавая манета ў Старажытнай Грэцыі|халк
Браняваная баявая самаходная машына|танк
Браняваная машына?|танк
Непрыдатная ваза|урна
Непрыдатная частка судна|якар
Непрыдатнае месца, дзе насяляюць бамжы|звалка
Брус дзвярной рамы|вушак
Брус, на якім замацоўваюцца рэйкі|шпала
Брус, службовец для мацавання верхняга беражка ветразяў|гафель
Брус, бервяно, забиваемое ў грунт для апоры ў збудаваннях|паля
Брус, які ідзе па грэбні даху|канёк
Брусок у друкарні для запаўнення вялікіх прабелаў|марзан
Брусок для малявання на дошцы, асфальце|мёў
Брусок папярочна разрэзанага бервяна для брукавання вуліц|тарэц
Брусок з дзяленнямі для прамеру ўзроўня вады|рэйка
Брусок, на тарцы якога зроблена рэльефны малюнак літары ці знака для адбітка (типогр.)|літара
Брусок-апора для кузава санак|капыл
Брута мінус нета|тара
Штаны ваеннага крою|галіфэ
Штаны з фарбаванай адмысловай фарбай баваўнянай тканіны|джынсы
Штаны са шчыльнай сіняй х/б тканіны з аздабленнем рэльефным радком|джынсы
Штаны адмысловага крою|галіфэ
Штаны самураяў|хакама
Штаны, абліпальныя галёнкі і якія пашыраюцца дагары. У некаторых войсках уваходзяць у форму афіцэра|брыджы
Штаны, абліпальныя калены і якія пашыраюцца дагары|галіфэ
Штаны, штаны|порткі
Штаны, абліпальныя калены і моцна што пашыраюцца дагары|галіфэ
Брунэтка-практыкантка, аматарка “тэлефоннага сэксу” і жанатых прэзідэнтаў|моніка
Брус Лі|цмок
Брусэль – Бельгія, Бейрут –|Ліван
Пуза|жывот
Брюхоногий малюск, чые ракавіны служылі тубыльцам замест грошай|каури
Брюхоногий малюск|слімак
Портачкі, якія адкінулі калашыны|шорты
Брушка ў рачных ракаў|шыйка
Брушка, задні аддзел цела членістаногіх жывёл|абдомен
Брушная вадзянка|асцыт
Брушная частка буйнай рыбы|теша
Брушная частка асетра|теша
Бранская вобл. (горад)|Злынка
Бранская вобл. (горад)|Почеп
Буба Касторский у свету|Сичкин
Звановая ў картах, гнядая ў канёў|масць
Бубр і Варта – яе прытокі|Ложы
Бугай|бамбіза
Груд у переднебоковой часці крупы каня|моклок
Грудок на балоце|купіна
Грудок на забалочанай зямлі|купіна
Грудок на волкай сенажаці, балоце|купіна
Буд. манах|лама
Будыйскі ці індуісцкі храм, сховішча рэлігійных рэліквій|пагада
Будыйскі манах у краінах Азіі; напышлівая службовая асоба|бонза
Будыйскі манах|лама
Будыйскае мемарыяльнае збудаванне і сховішча рэліквій|пагада
Будыйскае мемарыяльнае збудаванне|дагоба
Будыйскае мемарыяльнае збудаванне|пагада
Будыйскае збудаванне|дагоба
Будысцкі храм|дацан
Будзе ... , будзе і песня|хлеб
Будзільнік для касца|раса
Будзільнік добрых пачуццяў (поэтич.)|ліра
Будзільнік і нянька, а таксама зорка і інфармбюро|радыё
Будка для сабакі|будка
Будзённае, паўсядзённае ў жыцці|проза
Будзённасць, штодзённасць у жыцці|проза
Будзённыя клопаты|важданіна
Будачка для сабакі|будка
Будучая магчымасць|перспектыва
Будучая кераміка|гліна
Буерак|яр
Буза, скандал|дэбош
