Антычная дзель верша|мору
Антычная адзежа|стала
Антычная адзежа|туніка
Антычная адзежа|хітон
Антычная феміністка|амазонка
Антычная гаспадыня рога багацця?|Фартуна
Антычная чара для віна|фиал
Антычныя штурмавыя ўсходы|бузіна
Антычны круглы будынак для выступу спевакоў|одеон
Антычная назва Дона|Танаис
Антычнае адзенне|стала
Антычны “збан”|амфара
Антычны горад Боспорского дзяржавы|Нимфей
Антычны горад Боспорского царствы?|Патраэй
Антычны горад у вусце Днястра|Тирас
Антычны горад у вусце Дона|Танаис
Антычны горад на Чорным моры|Истрия
Антычны горад на Чорным моры|Одесс
Антычны горад на Чорным моры|Ольвия
Антычны горад на Чорным моры|Сурож
Антычны горад на Чорным моры|Фасис
Антычны горад, загінуў пры вывяржэнні вулкана|Помпеи
Антычны качок|атлет
Антычны балака|рытар
Антычны мудрэц|Фалес
Антычны арнамент з ламанай лініі ці спіралі|меандр
Антычны паэт, аўтар “Іліяды”|Гамер
Антычны прарок|аракул
Антычная пасудзіна для захоўвання віна, маслы|амфара
Антычны навуковец, які вымерыў вышыню старажытнаегіпецкіх пірамід па іх цені|Фалес
Антычны філосаф|Зянон
Антон Паўлавіч Чэхаў аднойчы заўважыў, што “разумны кахае вучыцца, а дурань ... ”|вучыць
Антонім “пасвіў” у прэферансе|віст
Антонім аверс|рэверс
Антонім альтруізм|эгаізм
Антонім аналіз|сінтэз
Антонім антыцыклон|цыклон
Антонім бязволле|воля
Антонім няздара|талент
Антонім утрапёнасць|розум
Антонім неўміручасць, жыццё, нараджэнне|смерць
Антонім бяссэнсіца|сэнс
Антонім бессань, ява|сон
Антонім бландын|брунет
Антонім угару|уніз
Антонім усюды|нідзе
Антонім волат|карлік
Антонім пэўнасць|здрада
Антонім вечар|раніца
Антонім вечнасць|імгненне
Антонім налева|направа
Антонім разам|паасобку
Антонім узвышша?|нізіна
Антонім вайна|свет
Антонім смурод|водар
Антонім пытанне|адказ
Антонім усход|захад
Антонім узыход|заход
Антонім направа|налева
Антонім вораг|сябар
Антонім хлусня, хлусня?|сумленнасць
Антонім шкода|карысць
Антонім паасобку|разам
Антонім глыбока|дробна
Антонім дурное|разумна
Антонім глуха|звонка
Антонім дзень|ноч
Антонім дабро|зло
Антонім добрай якасці|загана
Антонім сябар|вораг
Антонім яшчэ|ужо
Антонім жару|холад
Антонім жаніцьба|развод
Антонім заўтра|учора
Антонім зад|перад
Антонім заход|узыход
Антонім захад|усход
Антонім зямля|неба
Антонім зіма|лета
Антонім зло|дабро
Антонім якасць|шлюб
Антонім канец|пачатак
Антонім контратака, адступ|напад
Антонім прыгажун|вырадак
Антонім крык|шэпт
Антонім лета|зіма
Антонім хлусня|праўда
Антонім мала|шмат
Антонім свет|вайна
Антонім шмат|мала
Антонім можна|нельга
Антонім назад|наперад
Антонім напад|абарона
Антонім знаходка|страта
Антонім пачатак|канец
Антонім неба|зямля
Антонім нідзе|усюды
Антонім ніз?|верх
Антонім нізка|высока
Антонім ноч|дзень
Антонім востры|тупы
Антонім адказ|пытанне
Антонім адлёт|прылёт
Антонім адліў|прыліў
Антонім ад'езд|прыезд
Антонім перад|зад
Антонім уздым|спуск
Антонім позна|рана
Антонім ганьба|слава
Антонім карысць|шкода
Антонім перашкода|дапамога
Антонім дапамога|перашкода
Антонім папярок|уздоўж
Антонім паразы|перамога
Антонім лупцаваць|шыць
Антонім парадак|бардак
Антонім пасадка|узлёт
Антонім нашчадкі?|продкі
Антонім хвала|лаянка
Антонім свята|будні
Антонім прыбытак|страта
Антонім прыезд|ад'езд
Антонім прыёмка|рэшта
Антонім прылёт|адлёт
Антонім прыліў|адліў
Антонім прыход, прыбытак|выдатак
Антонім прыход|сыход
Антонім продаж|купля
Антонім перніка з вядомай прымаўкі|пуга
Антонім радасць|сум
Антонім радасць|смутак
Антонім рана|позна
Антонім выдатак|прыбытак
Антонім рэверс|аверс
Антонім рэдка|часта
Антонім рэцыпіент|донар
Антонім зверху|знізу
Антонім святло|цямрэча
Антонім воля|няволя
Антонім сёння, учора|заўтра
Антонім сур'ёзна|жартам
Антонім сінтэз|аналіз
Антонім слава|ганьба
Антонім слязы|смех
Антонім слепата|зрок
Антонім смерць|жыццё
Антонім смех (адказ у мн. ч.)|слёзы
Антонім знадворку|усярэдзіне
Антонім згода|адмова
Антонім сон|ява
Антонім выратаванне|згуба
Антонім справа|злева
Антонім спуск|уздым
Антонім стары|юнак
Антонім строгасць|ласка
Антонім там|тут
Антонім цемра|святло
Антонім тыл|фронт
Антонім вусцю?|выток
Антонім раніца|вечар
Антонім сыход, выдатак|прыход
Антонім холад|спякота
Антонім добра|дрэнна
Антонім храбрэц|баязлівец
Антонім цыклон|антыцыклон
Антонім часта|рэдка
Антонім сумленнасць, праўда|хлусня
Антонім сумленнасць|хлусня
Антонім чужына|радзіма
Антонім шэпт|крык
Антонім шурпата|гладка
Антонім штыль|шторм
Антонім эгаізм|альтруізм
Антонім экспарт|імпарт
Антонім юнак|стары
Антонаўка ці гольден|яблык
Анфас, выгляд спераду|фас
Апельсінавы лікёр|кюрасо
Апельсінавы ахаладжальны напой|фанта
Апагей густу|смак
Аподитерий, фригидарий, тепидарий, кальдарий, гипокауст, пропнигий. Як мы клічам усё гэта разам?|тэрмы
Апарат для выканання складаных манатонных аперацый|робат
Апарат для падводнага плавання|акваланг
Апарат для падтрымання ежы ў гарачым стане|мармит
Апарат для просушивания волас|сушуар
Апарат для мліва ў вытворчасці паперы|ролл
Апарат для ўзмацнення гуку|отофон
Апарат, агрэгат|машына
Апарат, які выпрацоўвае электрычную энергію?|генератар
Апарат, на якім аддрукоўваюцца талоны з указаннем атрыманай сумы|каса
Апаратнае адчужэнне чалавека ад справы|аўтаматыка
Апаратура, якая дазваляла партызанам трымаць сувязь з “вялікай зямлёй”|рацыя
Апетыт на гульню|рызыка
Апетыт|густ
Апетытна засмажаныя тонкія лустачкі выразкі|лангет
Апрабаванае добрае|балазе
Аптэкарская мера вагі|гран
Аптэкар з рамана А. Крысці “Віла «Белы конь»”|Осборн
Аптэкар?|фармацэўт
Араб-качэўнік?|бедуін
