Араб-жывёлагадовец|бедуін
Араб. гісторык і географ|Якуби
Араб. назва Іерусаліма|Кудс
Араб. паэт|Ахталь
Араб. паэт|Бсису
Арабск. ударн. муз. прылада|табл
Арабск. навуковец-энцыклапедыст; жыхар Респ. Саха|якут
Арабск. струн. муз. прылада|сантур
Арабскі хорт|слугги
Арабская літара|вав
Арабская літара|дад
Арабская літара|за
Арабская літара|нун
Арабская літара|ра
Арабская дынастыя, нашчадкі Халіфа Алі|Алид
Арабская лютня|вуд
Арабская адзежа, шчыльны плашч з каптуром|бурнос
Арабская прыказка: “Усё баіцца часу, а час баіцца...” Чаго баіцца час?|пірамід
Арабская сталіца, дзе можна ўбачыць вельмі экзатычны нумар – мужчынскі танец жывата|Каір
Арабскія дойліды стварылі выдатныя палацы Алькасар і Альгамбра. У іх афармленні прадстаўлены сінтэз еўрапейскага і ўсходняга мастацтва. Як стаў звацца гэты архітэктурны стыль?|арабескі
Арабскія ці рымскія знакі (адказ у мн. ч.)|лічбы
Арабскія халіфы|Аббасид
Арабскі “кароль”|калиф
Арабскі багаслоў|Ашари
Арабскі бубен|тар
Арабскі гісторык 9 ст., аўтар “Гісторыі прарокаў і цароў”|Табари
Арабскі мысляр ХII стагоддзі Абу-ці-Фарадж казаў пра яго: “Спачатку – паўлін, потым – малпа, затым – леў і, нарэшце, – свіння”. Пра кім гэтыя словы?|п'яны
Арабскі пісьменнік і грамадскі дзеяч|Сибаи
Арабскі пісьменнік, аўтар павесці “Белая”|Идрис
Арабскі пісьменнік. Нобелеўская прэмія (1988)|Махфуз
Арабскі паэт з Ірака; рускаму чытачу вядомыя складанкі вершаў “Анёлы і чэрці”, “Слава дзецям і алівам”, “Салдаты акупацыі” (1959)|Баяти
Арабскі вандроўца 12-стагоддзі|Идриси
Арабскі тытул|алі
Арабскі навуковец-энцыклапедыст|Якут
Арабская шчыпковая прылада|вуд
Арабская дзяржава|Ліван
Арабская назва шахматнага слана|філ
Арабскае паселішча ў Алжыры|Дуар
Аравійская расліна, з сямейства ліпавых|аравник
(арам. кочмарь) Мужчынскае імя|Сава
Арап у перакладзе са старорусского|негр
Арбалетная страла|ніт
Арбітр|суддзя
Арбітраж пра дазвол спрэчкі|пазоў
Кавуновая плантацыя|бахча
Кавуновы мёд|нардек
Кавуновы сок|нардек
Арвид Янавіч|Пельше
Аргент. пісьменнік|Борхес
Аргент. пісьменніца|Олівер
Аргент. паліты. і общ. д-ці, філосаф, пісьменнік, эканаміст|Альберди
Аргентынскі арнітолаг, адзін з арганізатараў праекта “Кондар”|Жакоме
Аргентынскі пастух|гаучо
Аргентынскі пісьменнік|Варела
Аргентынскі фізіёлаг. Нобелеўская прэмія (1947)|Усай
Аргумент, калі няма іншых|кулак
Арэна блицроманов|курорт
Арэна для немаўлятаў|манеж
Арэнда судна|фрахт
Арыянства як яно ёсць|ерась
Ариламид шэрагу араматычных кіслот|азотол
Арына Радзівонаўна ў адносінах да А. Пушкіну|няня
Арыстакрат сярод арыстакратаў у Англіі|пэр
Арыстакратычны рак|амар
Арыстакратычнае печыва?|бісквіт
Арыстакратычны і мілы, памяркоўны і сціплы, дакладны і вынаходлівы будзе які нарадзіўся пад знакам гэтага дрэва 24 чэрвеня|бяроза
Арыфметыка пасля “ўварвання” ў яе лацінскага алфавіту|алгебра
Арка, каланада, збудаванне ў памяць якой-небудзь падзеі|вароты
Аркадская паляўнічая, удзельніца паходу арганаўтаў|Аталанта
Аркан з завесай|ласо
Аркан са слізгальнай завесай у конных пастухоў і паляўнічых|ласо
Аркан, вяроўка са слізгальнай завесай для лоўлі жывёл|ласо
Арктычны аднарог|аднарог
Арм. акцёр і тэатр. дзеяч 19 ст.|Амрикян
Арм. архітэктар|Агабабян
Арм. лекар (15 ст.)|Амирдовлат
Арм. вёска|гюк
Арм. вёска|шэн
Арм. дух. муз. прылада|сринг
Арм. женск. імя|Карыне
Арм. выдавецтва|айастан
Арм. гісторык і пісьменнік|Лео
Арм. народны муз. прылада|тутак
Арм. общ. дзеяч і публіцыст|Арцруни
Арм. спявак|Еркат
Арм. пісьменнік (раман “Заўтра”); бакінскі камісар|Авакян
Арм. пісьменнік|Агаян
