Афрыканская мова?|идома
Афрыканская мова|кунама
Афрыканская даўгашыяя жывёла, капытнае|жыраф
Афрыканскае адзінства|ОАЕ
Афрыканская назва бегемота|кибоко
Афрыканскае нізкарослае племя, мужчыны якога не маюць патрэбу ў “Віягры”|пігмеі
Афрыканская парнакапытная жуйная жывёла з вельмі доўгай шыяй і доўгімі нагамі|жыраф
Афрыканская парнакапытная жывёла сямействы жыраф|акапі
Ах, ... , як бы нам сустрэцца, пабалбатаць аб усім, – спяваў 10 гадоў назад квартэт “Сакрэт”|Аліса
Археолаг. культура неаліту на Балканах|винча
Ашуг Адыгеі|Теучеж
Аэрадром для камароў на галаве некаторых мужчын|лысіна
Аэраклуб у Маскве|Тушино
Аэрапорт Бухарэсту|Бэнясу
Аэрапорт Дзялі|Палам
Аэрапорт Масквы|Быково
Аэрапорт Парыжа|Бурже
Аэрапорт Сеўла|Кимпо
Аэрапорт Стакгольму|Бромма
Аэрапорт Хельсінкі|Вантаа
Аэрапорт у Архангельску|Талаги
Аэрапорт у Берліне|Тегель
Аэрапорт у Браціславе|Иванка
Аэрапорт у Буэнас-Айрэсе|Эсейса
Аэрапорт у Варшаве|Окенце
Аэрапорт у Вашынгтоне|Даллес
Аэрапорт у Вене|Швехат
Аэрапорт у Валгаградзе|Гумрак
Аэрапорт у Екацярынбурзе|Уктус
Аэрапорт у Ірландыі|Шаннон
Аэрапорт у Канадзе|Гандер
Аэрапорт у Кіеве|Жуляны
Аэрапорт у Лондане|Гетвик
Аэрапорт у Лондане|Хитроу
Аэрапорт у Махачкале|Уйташ
Аэрапорт у Мілане|Линате
Аэрапорт у Менску|Лошыца
Аэрапорт у Маскве?|Быково
Аэрапорт у Празе|Рузине
Аэрапорт у Рызе|Спилве
Аэрапорт у Санкт-Пецярбургу|Ржевка
Аэрапорт у Сочы; австр. псіхолаг|Адлер
Аэрапорт у Сочы|Адлер
Аэрапорт у Токіо|Нарита
Аэрапорт у Токіо|Ханеда
Аэрапорт у Хабараўску|Новы
Аэрапорт у Чыце|Кадала
Аэрапорт, у якім пачаліся ліхтугі высокага бландына ў чорным чаравіку|Орли
Бас, нар. артыст СССР|Штоколов
Басовая труба ў органе|бомбарда
Басовая медная духавая музычная прылада|гелікон
Басилей. Тытул, чын|василевс
Баскетбаліст, які гуляў за зборную Расіі|Куделин
Нечувана легкадумнае стварэнне|страказа
Байка Крылова|механік
Байка Крылова|малпы
Байка Крылова|ягня
